priority_rank,family_id,current_status,reason,next_allowed_action
1,managed_futures_etf_wrapper,next_family_to_review,"Highest next priority because the project needs a family that is more additive than SPY/QQQ/sector/growth behavior. Trend-following / managed-futures-style ETF wrappers may provide a different return stream. This must be ETF/fund-wrapper only, not direct futures trading.",create_managed_futures_etf_wrapper_fast_exploration_review_prompt
2,dual_momentum_paa_etf_wrapper,future_family_review,"Clean relative momentum plus absolute momentum / protective allocation style. Plausible, but must be checked carefully for duplication with GROR, SPY_200d, and active combo.",create_dual_momentum_paa_etf_wrapper_fast_exploration_review_prompt
3,gtaa_faber_style_benchmark_lane,future_benchmark_family,"Simple global tactical allocation / moving-average benchmark family. Useful as a benchmark and sanity check, but likely overlaps with SPY_200d, GROR, and active combo.",create_gtaa_faber_style_benchmark_lane_review_prompt
4,dsr_sector_top2_momentum_200d_bil_v1,future_review_candidate,"Promising DSR same-family row. Exact metrics are missing/unavailable after recovery, and active DSR equal-weight is already frozen, so this is lower priority than new family discovery.",create_promotion_review_for_dsr_sector_top2_momentum_200d_bil_v1
5,dsr_sector_top3_momentum_defensive_cash_v1,deferred_candidate_queue,"Promotion review already passed and candidate validation was recommended before being deferred. Same-family as active DSR equal-weight, so it remains deferred until new family discovery advances.",create_candidate_exhaustive_prompt_for_dsr_sector_top3_momentum_defensive_cash_v1
6,static_all_weather_or_permanent_portfolio_benchmark,future_benchmark_or_control,Potentially useful benchmark/control family. Likely too defensive/slow for the profit-first objective unless it provides strong drawdown diversification.,create_static_all_weather_benchmark_lane_review_prompt
7,quality_momentum_etf_proxy,watchlist_no_more_rescue_now,"Already investigated. It had profit power but failed risk/duplicate gates, including one bounded risk-control rescue batch. Do not rescue again unless new evidence appears.",keep_quality_momentum_on_watchlist
8,commodity_wrapper,deferred,Deferred. Commodity-only wrapper approaches may be too volatile unless expressed through a trend-following or managed-futures-style wrapper.,defer_commodity_wrapper_until_after_managed_futures_review
9,crypto_spot,deferred,Deferred due risk/evidence concerns. Not aligned with current ETF-wrapper recovery direction.,defer_crypto_spot
10,individual_stock_momentum,blocked_or_deferred,"Blocked/deferred because of survivorship, provider, package, and terms issues. Not appropriate for the current minimal ETF-wrapper direction.",keep_individual_stock_momentum_blocked
