strategy_id,current_status,promotion_decision,failure_mode,missing_evidence,closest_to_promotion_score,gap_recommended_next_action,gap_next_action_reason,exact_evidence_needed_to_change_decision
SPY_200d_vol_target_12_cap_1_00_v1,exploratory_only,keep_watchlist,watchlist_missing_diagnostics,,0,run_target_window_independence_test,Target-window independence is the specific missing promotion input.,stronger target/risk/duplicate diagnostics
SPY_200d_vol_target_12_cap_1_10_v1,exploratory_only,keep_watchlist,watchlist_missing_diagnostics,,0,run_target_window_independence_test,Target-window independence is the specific missing promotion input.,stronger target/risk/duplicate diagnostics
portfolio_spy200d_100_v1,watchlist_diagnostic,keep_watchlist,watchlist_missing_diagnostics,,0,run_target_window_independence_test,Target-window independence is the specific missing promotion input.,stronger target/risk/duplicate diagnostics
portfolio_spy200d_80_ab_20_v1,incomplete_evidence,keep_watchlist,watchlist_missing_diagnostics,,0,run_target_window_independence_test,Target-window independence is the specific missing promotion input.,stronger target/risk/duplicate diagnostics
portfolio_spy200d_70_ab_20_bil_10_v1,incomplete_evidence,keep_watchlist,watchlist_missing_diagnostics,,0,run_target_window_independence_test,Target-window independence is the specific missing promotion input.,stronger target/risk/duplicate diagnostics
portfolio_spy200d_80_crypto_tsmom_10_bil_10_v1,exploratory_only,keep_watchlist,watchlist_missing_diagnostics,,0,run_target_window_independence_test,Target-window independence is the specific missing promotion input.,stronger target/risk/duplicate diagnostics
portfolio_spy200d_70_crypto_tsmom_10_ief_10_bil_10_v1,exploratory_only,keep_watchlist,watchlist_missing_diagnostics,,0,run_target_window_independence_test,Target-window independence is the specific missing promotion input.,stronger target/risk/duplicate diagnostics
family_etf_sector_momentum_A_v1,incomplete_evidence,keep_watchlist,watchlist_missing_diagnostics,,0,run_target_window_independence_test,Target-window independence is the specific missing promotion input.,stronger target/risk/duplicate diagnostics
family_etf_ab_no_cash_v1,incomplete_evidence,keep_watchlist,watchlist_missing_diagnostics,,0,run_target_window_independence_test,Target-window independence is the specific missing promotion input.,stronger target/risk/duplicate diagnostics
family_crypto_spot_time_series_momentum_v1,exploratory_only,keep_watchlist,watchlist_missing_diagnostics,,0,run_target_window_independence_test,Target-window independence is the specific missing promotion input.,stronger target/risk/duplicate diagnostics
