id,version,current_tier,status,promotion_requirements,next_possible_tier,current_blockers
SPY_200d_trend_model,v1,tier4_paper_forward,active_observation,No promotion in current project; observe fixed rules only.,observe_only,none
current_no_cash_proxy_alpha_AB,v1,tier4_paper_forward,active_observation,No rule changes during observation; improvements require new version id.,observe_only,none
SPY_buy_hold,v1,benchmark,benchmark,Benchmark only; no promotion.,none,none
BIL_cash_proxy,v1,benchmark,benchmark,Benchmark only; no promotion.,none,none
SPY_200d_trend_model_sim_1_25x_v1,v1,tier1_exploratory,too_risky,Not eligible without separate Tier 2 leverage feasibility review and fixed risk model.,tier2_credible_prototype_after_review,too_risky;tier1_exploratory
SPY_200d_trend_model_sim_1_5x_v1,v1,tier1_exploratory,too_risky,Not eligible without separate Tier 2 leverage feasibility review and fixed risk model.,tier2_credible_prototype_after_review,too_risky;tier1_exploratory
SPY_buy_hold_sim_1_25x_v1,v1,tier1_exploratory,too_risky,Not eligible without separate Tier 2 leverage feasibility review and fixed risk model.,tier2_credible_prototype_after_review,too_risky;tier1_exploratory
SPY_buy_hold_sim_1_5x_v1,v1,tier1_exploratory,too_risky,Not eligible without separate Tier 2 leverage feasibility review and fixed risk model.,tier2_credible_prototype_after_review,too_risky;tier1_exploratory
SPY_200d_exposure_frontier_1_05x_v1,v1,tier1_exploratory,too_risky,Not eligible without separate Tier 2 exposure feasibility review and fixed risk model.,tier2_credible_prototype_after_review,too_risky;tier1_exploratory
SPY_200d_exposure_frontier_1_10x_v1,v1,tier1_exploratory,too_risky,Not eligible without separate Tier 2 exposure feasibility review and fixed risk model.,tier2_credible_prototype_after_review,too_risky;tier1_exploratory
SPY_200d_exposure_frontier_1_15x_v1,v1,tier1_exploratory,too_risky,Not eligible without separate Tier 2 exposure feasibility review and fixed risk model.,tier2_credible_prototype_after_review,too_risky;tier1_exploratory
SPY_200d_exposure_frontier_1_20x_v1,v1,tier1_exploratory,too_risky,Not eligible without separate Tier 2 exposure feasibility review and fixed risk model.,tier2_credible_prototype_after_review,too_risky;tier1_exploratory
SPY_200d_exposure_frontier_1_25x_v1,v1,tier1_exploratory,too_risky,Not eligible without separate Tier 2 exposure feasibility review and fixed risk model.,tier2_credible_prototype_after_review,too_risky;tier1_exploratory
A_ETF_sector_momentum,v1,tier3_candidate_validation,watchlist,New version id plus candidate evidence if changed.,tier4_paper_forward_if_frozen,none
B_ETF_trend_following,v1,tier3_candidate_validation,watchlist,New version id plus candidate evidence if changed.,tier4_paper_forward_if_frozen,none
C_swing_trend_pullback,v1,blocked,rejected,New isolated version and fresh evidence required before reconsideration.,none,rejected;blocked
D_mean_reversion,v1,blocked,rejected,New isolated version and fresh evidence required before reconsideration.,none,rejected;blocked
E_breakout_vcb,v1,blocked,rejected,New isolated version and fresh evidence required before reconsideration.,none,rejected;blocked
crypto_time_series_momentum,v1,tier1_exploratory,exploratory_only,Tier 2 credible prototype review; better data/execution model.,tier2_credible_prototype_after_review,tier1_exploratory
crypto_dual_momentum_cash_filter,v1,tier1_exploratory,exploratory_only,Tier 2 credible prototype review; better data/execution model.,tier2_credible_prototype_after_review,tier1_exploratory
crypto_cross_sectional_momentum,v1,tier1_exploratory,exploratory_only,Tier 2 credible prototype review; better data/execution model.,tier2_credible_prototype_after_review,tier1_exploratory
crypto_buy_hold_equal_weight,v1,tier1_exploratory,exploratory_only,Tier 2 credible prototype review; better data/execution model.,tier2_credible_prototype_after_review,tier1_exploratory
crypto_simulated_leverage_1_5x,v1,tier1_exploratory,too_risky,Not eligible.,tier2_credible_prototype_after_review,too_risky;tier1_exploratory
crypto_simulated_leverage_2_0x,v1,tier1_exploratory,too_risky,Not eligible.,tier2_credible_prototype_after_review,too_risky;tier1_exploratory
individual_stock_momentum_gate1a,gate1a,blocked,deferred,"Verified survivorship-free data, delistings, corporate actions, licensing, and cost/runtime feasibility.",none,deferred;blocked_by_gate;blocked
options_directional_gate0_needed,memo_placeholder,tier0_research_map,memo_only,Gate 0 and Gate 1 approval.,tier1_exploratory_after_gate_review,not_implemented;tier0_research_map
futures_trend_following_gate0_needed,memo_placeholder,tier0_research_map,memo_only,Gate 0 and Gate 1 approval.,tier1_exploratory_after_gate_review,not_implemented;tier0_research_map
forex_momentum_carry_gate0_needed,memo_placeholder,tier0_research_map,memo_only,Gate 0 and Gate 1 approval.,tier1_exploratory_after_gate_review,not_implemented;tier0_research_map
intraday_orb_gate0_needed,memo_placeholder,tier0_research_map,memo_only,Gate 0 and Gate 1 approval with timestamp-quality review.,tier1_exploratory_after_gate_review,not_implemented;tier0_research_map
volatility_products_gate0_needed,memo_placeholder,tier0_research_map,memo_only,Gate 0 and Gate 1 approval with product-risk review.,tier1_exploratory_after_gate_review,not_implemented;tier0_research_map
