family_id,current_status,best_known_strategy,evidence_state,active_observation,paper_forward_active,candidate_queue,watchlist,blocked,reason,next_allowed_action,priority_rank
volatility_managed_equity_etf,active_observation_running,paper_forward_vm_quality_lowvol_proxy_v1,conversation_recovered_or_latest_evidence,True,True,False,False,False,Existing recovered family state; preserve active/frozen observation where applicable.,research_sample_review,
defensive_sector_rotation_etf,active_observation_running,paper_forward_dsr_sector_equal_weight_defensive_filter_v1,conversation_recovered_or_latest_evidence,True,True,False,False,False,Existing recovered family state; preserve active/frozen observation where applicable.,research_sample_review,
quality_momentum_etf_proxy,watchlist_no_more_rescue_now,quality_momentum_etf_proxy,conversation_recovered_or_latest_evidence,False,False,False,True,False,"Already investigated. It had profit power but failed risk/duplicate gates, including one bounded risk-control rescue batch. Do not rescue again unless new evidence appears.",keep_quality_momentum_on_watchlist,7
quality_momentum_etf_proxy_risk_control_batch_1,watchlist_family,quality_momentum_etf_proxy_risk_control_batch_1,planning_only_or_deferred,False,False,False,True,False,Existing recovered family state; preserve active/frozen observation where applicable.,keep_quality_momentum_on_watchlist,
global_risk_on_risk_off_etf,promotion_candidate_found,gror_balanced_momentum_60_40_v1,conversation_recovered_or_latest_evidence,False,False,False,True,False,Existing recovered family state; preserve active/frozen observation where applicable.,research_sample_review,
managed_futures_etf_wrapper,next_family_to_review,managed_futures_etf_wrapper,planning_only_or_deferred,False,False,True,False,False,"Highest next priority because the project needs a family that is more additive than SPY/QQQ/sector/growth behavior. Trend-following / managed-futures-style ETF wrappers may provide a different return stream. This must be ETF/fund-wrapper only, not direct futures trading.",create_managed_futures_etf_wrapper_fast_exploration_review_prompt,1
dual_momentum_paa_etf_wrapper,future_family_review,dual_momentum_paa_etf_wrapper,planning_only_or_deferred,False,False,True,False,False,"Clean relative momentum plus absolute momentum / protective allocation style. Plausible, but must be checked carefully for duplication with GROR, SPY_200d, and active combo.",create_dual_momentum_paa_etf_wrapper_fast_exploration_review_prompt,2
gtaa_faber_style_benchmark_lane,future_benchmark_family,gtaa_faber_style_benchmark_lane,planning_only_or_deferred,False,False,False,False,False,"Simple global tactical allocation / moving-average benchmark family. Useful as a benchmark and sanity check, but likely overlaps with SPY_200d, GROR, and active combo.",create_gtaa_faber_style_benchmark_lane_review_prompt,3
static_all_weather_or_permanent_portfolio_benchmark,future_benchmark_or_control,static_all_weather_or_permanent_portfolio_benchmark,planning_only_or_deferred,False,False,False,False,False,Potentially useful benchmark/control family. Likely too defensive/slow for the profit-first objective unless it provides strong drawdown diversification.,create_static_all_weather_benchmark_lane_review_prompt,6
commodity_wrapper,deferred,commodity_wrapper,planning_only_or_deferred,False,False,False,False,False,Deferred. Commodity-only wrapper approaches may be too volatile unless expressed through a trend-following or managed-futures-style wrapper.,defer_commodity_wrapper_until_after_managed_futures_review,8
crypto_spot,deferred,crypto_spot,planning_only_or_deferred,False,False,False,False,False,Deferred due risk/evidence concerns. Not aligned with current ETF-wrapper recovery direction.,defer_crypto_spot,9
individual_stock_momentum,blocked_or_deferred,individual_stock_momentum,planning_only_or_deferred,False,False,False,False,True,"Blocked/deferred because of survivorship, provider, package, and terms issues. Not appropriate for the current minimal ETF-wrapper direction.",keep_individual_stock_momentum_blocked,10
