candidate_id,strategy_name,priority_rank,priority_group,family,edge_type,timeframe,status,demo_eligibility,instruments,allowed_universe,core_hypothesis,entry_rule,exit_rule,sizing_rule,risk_controls,max_position_size,max_open_positions,max_trades_per_day,max_trades_per_week,max_holding_period,data_required,execution_assumptions,benchmark_controls,minimum_backtest_period,minimum_acceptance_criteria,rejection_criteria,main_failure_modes,related_tested_strategies,duplication_checks,next_action
dmr_liquid_etf_oversold_rebound_v1,Liquid ETF Oversold Rebound,1,priority_1_immediate_daily_weekly,daily_mean_reversion,mean_reversion,daily,daily_research_candidate,daily_demo_review_possible_after_validation,SPY; QQQ; IWM; DIA; XLK; XLF; XLV; XLE; XLI; XLY; XLP; XLU; XLB; XLRE,"Highly liquid broad and sector ETFs only; no single stocks, leverage, shorts, options, futures, forex, or crypto.",Short-horizon ETF oversold rebounds can be profitable when the instrument and market backdrop remain in healthy long-term uptrends.,"At the daily close, rank eligible ETFs with close above their 200-day SMA and SPY above its 200-day SMA by RSI(2). Enter the two lowest RSI(2) readings only when RSI(2) <= 10.","Exit at the next daily close above the 5-day SMA, on a 2.0 ATR(14) stop from entry, after 5 trading days, or when SPY closes below its 200-day SMA.",Equal risk slots with at most two open ETF positions; unused cash remains cash/BIL proxy in reporting.,Max 2 open positions.; Max 25% notional per position.; ATR stop required on every entry.; Max 2 new entries per day.; Pause new entries for the rest of the week after two closed losing trades or a 3% strategy drawdown in the same week.,25% notional per position,2,2,6,5 trading days,Adjusted daily OHLCV for eligible ETFs; RSI(2); 5-day SMA; 200-day SMA; ATR(14),End-of-day signal; Next session open or close simulation must be declared before testing; No intraday fills assumed,SPY buy-and-hold; SPY 200d trend model; active VM; active DSR; active combo benchmark,"At least 10 years when data exists, including 2018, 2020, 2022, and 2025-2026 windows.",Positive median final equity after costs in sampled and full windows.; Beats SPY 200d and active combo on risk-adjusted return or materially improves drawdown at comparable return.; No single ETF accounts for most of the edge.,Fails drawdown buffer versus active references.; Profit concentrated in one crisis rebound.; Turnover costs erase edge.,Mean reversion keeps catching falling ETFs; RSI threshold is too sparse or too crowded; Sector correlations create hidden concentration,SPY_200d_trend_model; active_combo_vm_dsr_equal_weight_v1; breadth_state_regime_lane,Must not reduce to active VM trend filter only; Must not be a near-duplicate of previous ETF wrapper defensive shifts,pre_register_before_any_backtest
vm_spy_qqq_daily_vol_target_v1,SPY QQQ Daily Volatility Target,2,priority_1_immediate_daily_weekly,volatility_managed_equity,volatility_management,daily,daily_research_candidate,daily_demo_review_possible_after_validation,SPY; QQQ; BIL,"SPY, QQQ, and BIL only; long-only exposure with no leverage.",Trend-following equity exposure may improve small-account survivability if exposure is scaled down during high realized-volatility regimes.,Hold SPY and QQQ when each closes above its 200-day SMA and SPY closes above its 200-day SMA; otherwise assign that sleeve to BIL.,"Reduce or exit a sleeve when its close falls below the 200-day SMA, when a pre-registered realized volatility spike block is active, or at the next rebalance.","Target 50% SPY and 50% QQQ in calm volatility, 25%/25% in elevated volatility, and residual allocation to BIL; never exceed 100% total notional.","No leverage and no margin.; Max 100% total notional exposure.; Residual allocation goes to BIL.; Drawdown pause blocks new risk increases.; Volatility spike condition can only reduce exposure, never increase it.",50% notional per equity ETF before volatility scaling,3,2,4,Open-ended while daily rules remain valid,"Adjusted daily OHLCV for SPY, QQQ, BIL; 200-day SMA; 20-day realized volatility; 60-day realized volatility",End-of-day signal; Daily rebalance only when target exposure changes; BIL used as cash proxy,active VM; SPY 200d trend model; active combo benchmark; SPY/QQQ 50/50 buy-and-hold,"At least 15 years when available, with explicit 2020 and 2022 stress windows.",Distinct from active VM after rule comparison.; Improves drawdown or volatility materially versus 50/50 SPY/QQQ without unacceptable return drag.; Does not lag active VM and active combo by enough to fail the profit goal.,Near-duplicate of active VM.; Volatility scaling removes too much upside.; High-volatility whipsaw produces worse drawdown and lower return.,Hidden duplication with active VM; Late volatility response; Too much BIL drag,paper_forward_vm_quality_lowvol_proxy_v1; SPY_200d_trend_model; active_combo_vm_dsr_equal_weight_v1,"Compare holdings, exposure path, drawdown path, and signal dates against active VM before any promotion review",pre_register_before_any_backtest
sector_rs_weekly_cash_filter_v1,Weekly Sector Relative Strength Cash Filter,3,priority_1_immediate_daily_weekly,sector_relative_strength_rotation,sector_rotation,weekly,registered_not_tested,weekly_demo_review_possible_after_validation,XLK; XLF; XLV; XLE; XLI; XLY; XLP; XLU; XLB; XLRE; BIL,Liquid sector ETFs and BIL only.,Weekly sector leadership with an explicit cash filter may capture medium-term rotation without the slower behavior of monthly ETF-wrapper rows.,"On the final trading day of each week, rank sectors by fixed 13-week total return; hold the top two only if each closes above its 26-week SMA and SPY closes above its 40-week SMA.","Exit a sector at weekly rebalance if it falls out of the top two, fails its 26-week SMA filter, or SPY fails the 40-week SMA filter; allocate failed sleeves to BIL.",Allocate 50% to each selected sector; failed or missing slots go to BIL.,Max 2 sector positions.; 50% cap per sector.; Weekly rebalance only.; BIL fallback for weak sectors.; Pause new sector entries for one week after a 5% strategy drawdown from prior month-end equity.,50% notional per sector ETF,2,2,4,Open-ended while weekly rules remain valid,Adjusted daily OHLCV converted to weekly bars; 13-week total return; 26-week SMA; 40-week SPY SMA,Weekly signal only; No intraday decisioning; No sector shorting,active DSR; active combo benchmark; equal-weight sector basket; SPY 200d trend model,At least 15 years where sector ETF history permits; include rate-shock and bear-market windows.,Not a near-duplicate of active DSR.; Beats equal-weight sectors and active combo on either median final equity or drawdown-adjusted return.; Turnover remains within cap without excessive whipsaw.,Weaker than active DSR and active combo.; Returns dominated by XLK-only concentration.; Cash filter causes persistent underinvestment.,Sector momentum reverses quickly; Hidden XLK/QQQ concentration; Weekly filter too slow,paper_forward_dsr_sector_equal_weight_defensive_filter_v1; active_combo_vm_dsr_equal_weight_v1; dsr_sector_top2_momentum_200d_bil_v1,"Compare selected sectors, rebalance dates, BIL usage, and return sources against active DSR",pre_register_before_any_backtest
vol_compression_breakout_etf_v1,ETF Volatility Compression Breakout,4,priority_1_immediate_daily_weekly,volatility_compression_breakout,breakout,daily,daily_research_candidate,daily_demo_review_possible_after_validation,SPY; QQQ; IWM; DIA; XLK; XLF; XLV; XLE; XLI; XLY; XLP; XLU; XLB; XLRE,Broad and sector ETFs only; long-only.,A fixed breakout after volatility compression can capture directional expansion while ATR stops cap failed breakouts.,Enter an ETF at the daily close when its 10-day ATR divided by close is below its fixed 252-day 30th percentile and the close breaks above the prior 20-day high.,"Exit on a 2.5 ATR(14) trailing stop, a close below the 20-day SMA, after 20 trading days, or after an extreme adverse gap stop.",At most two equal-size positions selected by highest 63-day return among qualifying breakouts.,Max 2 open positions.; Max 25% notional per position.; No entry after a gap up greater than 2 ATR from the prior close.; ATR trailing stop required.; Pause new entries after a 4% weekly strategy loss.,25% notional per position,2,2,5,20 trading days,Adjusted daily OHLCV; ATR(10); ATR(14); 20-day high; 20-day SMA; 252-day ATR percentile,Daily close signal; No stop fills better than stop level in simulation; No intraday breakout logic,SPY buy-and-hold; SPY 200d trend model; active combo benchmark; Donchian breakout candidate,"At least 10 years, including low-volatility and high-volatility regimes.",Profitable after conservative slippage.; Drawdown controlled by ATR stop and weekly pause.; Performance not explained by one sector ETF or one volatility regime.,Breakout failures dominate gains.; Compression filter is redundant with plain trend following.; Too few trades for reliable inference.,False breakouts; Gap entries chase exhausted moves; Sparse signal sample,breadth_state_regime_lane; expanded_universe_batch_1; active_combo_vm_dsr_equal_weight_v1,Must show distinct entry timing from top-N ETF momentum wrappers and breadth-state rows,pre_register_before_any_backtest
rs_pair_rotation_spy_qqq_xlk_xlu_v1,SPY QQQ XLK XLU Relative Strength Pair Rotation,5,priority_1_immediate_daily_weekly,long_only_relative_strength_pair_rotation,relative_strength,weekly,registered_not_tested,weekly_demo_review_possible_after_validation,SPY; QQQ; XLK; XLU; BIL,"SPY, QQQ, XLK, XLU, and BIL only.",A compact risk-on/risk-off sleeve may capture equity leadership while moving to defensive utility or BIL when growth risk weakens.,"At weekly close, rank SPY, QQQ, XLK, and XLU by fixed 13-week return; hold the top ETF only if it closes above its 26-week SMA and SPY closes above its 40-week SMA, otherwise hold BIL.","Exit at the next weekly rebalance if the held ETF is no longer top-ranked, fails its trend filter, or SPY fails the market filter.",Hold one 100% sleeve position or BIL; no split allocation.,Max 1 risk position.; BIL fallback.; Weekly turnover cap of one full switch.; Hidden concentration review for QQQ and XLK exposure.; Drawdown pause routes to BIL for one week after a 5% strategy drawdown.,100% notional in one ETF or BIL,1,1,2,Open-ended while weekly rules remain valid,Adjusted daily OHLCV converted to weekly bars; 13-week return; 26-week SMA; 40-week SPY SMA,Weekly rebalance; No leverage; No intraday execution model,SPY 200d trend model; active VM; active combo benchmark; SPY/QQQ 50/50,At least 15 years where XLK and XLU history permits.,Clear distinct behavior from active VM.; No excessive QQQ/XLK concentration after concentration audit.; Risk-adjusted results beat simple SPY/QQQ controls or drawdown improves materially.,Hidden QQQ/XLK concentration explains returns.; Too slow to meet profit objective.; BIL filter whipsaws during recoveries.,Concentration in technology beta; Weekly lag; Defensive switch occurs too late,paper_forward_vm_quality_lowvol_proxy_v1; paper_forward_dsr_sector_equal_weight_defensive_filter_v1; active_combo_vm_dsr_equal_weight_v1,Audit overlap with active VM and active DSR exposures before considering promotion review,pre_register_before_any_backtest
donchian_atr_breakout_etf_v1,Donchian ATR ETF Breakout,6,priority_2_higher_risk_daily,daily_breakout,trend-following breakout,daily,daily_research_candidate,daily_demo_review_possible_after_validation,SPY; QQQ; IWM; DIA; XLK; XLF; XLV; XLE; XLI; XLY; XLP; XLU; XLB; XLRE,Broad and sector ETFs only; long-only.,Fixed Donchian breakouts with ATR stops may catch persistent ETF trends that slower wrapper models miss.,Enter at the daily close when an ETF closes above its prior 55-day high and SPY closes above its 200-day SMA.,"Exit on a close below the prior 20-day low, a 2.0 ATR(14) trailing stop, or after 30 trading days.",Allocate equal notional across at most two active breakout positions; unused cash remains unallocated.,Max 2 open positions.; Max 25% notional per position.; ATR trailing stop required.; Max 4 new breakout entries per week.; No new entries after two stopped breakout losses in the same week.,25% notional per position,2,2,4,30 trading days,Adjusted daily OHLCV; 55-day high; 20-day low; ATR(14); SPY 200-day SMA,Daily close signal; Conservative stop simulation; No intraday breakout entry,SPY buy-and-hold; SPY 200d trend model; vol compression breakout candidate; active combo benchmark,At least 10 years with separate crisis and non-crisis summaries.,Shows persistent upside outside one crisis period.; ATR stops keep drawdown within risk buffer.; Beats plain SPY trend model on either final equity or drawdown-adjusted return.,Too many false breakouts.; High drawdown despite stops.; No improvement over simpler volatility compression breakout or SPY 200d controls.,Late entries; Whipsaw near highs; ATR stop too wide for small account,SPY_200d_trend_model; breadth_state_regime_lane; expanded_universe_batch_1,"Must not be evaluated as another top-N ETF wrapper; entry is price breakout, not rank-only momentum",hold_for_later_preregistration
turn_of_month_spy_qqq_v1,SPY QQQ Turn Of Month Window,7,priority_2_higher_risk_daily,calendar_anomaly,calendar/event,daily,daily_research_candidate,daily_demo_review_possible_after_validation,SPY; QQQ; BIL,"SPY, QQQ, and BIL only.",A fixed turn-of-month window may capture recurring flow effects while avoiding continuous equity exposure.,Hold 50% SPY and 50% QQQ from the close of the fourth-to-last trading day of each month through the close of the third trading day of the next month; otherwise hold BIL.,Exit to BIL at the close of the third trading day of the month or when a pre-registered hard drawdown pause is active.,50% SPY and 50% QQQ during the fixed window; 100% BIL outside the window.,Fixed calendar window only.; No tuning of alternative calendar windows after results.; No leverage.; BIL outside the window.; Monthly drawdown pause if the window loses more than 4%.,50% notional per equity ETF,2,2,4,8 trading days,"Adjusted daily OHLCV for SPY, QQQ, BIL; Trading calendar with month boundaries",Daily close rebalance; No intraday fills; Calendar known before testing,SPY buy-and-hold; SPY/QQQ 50/50 buy-and-hold; BIL; active combo benchmark,"At least 20 years where possible, with separate pre- and post-2020 summaries.","Positive edge after costs without calendar-window tuning.; Works on both SPY and QQQ sleeves, not one isolated instrument.; Drawdown lower than continuous SPY/QQQ exposure.",Only one subperiod works.; Window edge disappears after costs.; Requires alternate calendar windows to look viable.,Calendar anomaly decays; Too little exposure to meet profit goal; Month-end shocks,SPY_200d_trend_model; active_combo_vm_dsr_equal_weight_v1,"Must be treated as calendar exposure, not trend-following or ETF wrapper momentum",hold_for_later_preregistration
cash_pause_overlay_meta_v1,Shared Cash Pause Risk Overlay,8,priority_2_higher_risk_daily,shared_risk_overlay,risk_overlay,meta-overlay,shared_risk_overlay,not_alpha_overlay_only,APPLIES_TO_ALL_CANDIDATE_STRATEGIES,Applies to registered strategy candidates only; it is not a standalone alpha strategy.,"A common cash pause can reduce compounding damage from abnormal drawdown, execution issues, or repeated failed signals.","No standalone entries. Overlay activates when a candidate hits a pre-registered drawdown, loss-streak, data-quality, or execution kill-switch condition.",Overlay deactivates only after the pre-registered cooling-off period and data-quality checks pass.,"When active, block new entries or route affected strategy sleeves to cash/BIL according to each candidate's rule packet.",Not alpha by itself.; Cannot increase exposure.; Cannot override stops.; Must log reason for every pause.; Requires manual review before changing thresholds.,No standalone position,0,0,0,Cooling-off period defined per candidate before testing,Strategy equity curve; Closed trade log; Data-quality status; Execution readiness status,Overlay only reduces risk; No broker integration; No live order path,Each candidate with overlay disabled; Each candidate with overlay enabled; active combo benchmark,Same as the underlying candidate being tested.,Reduces drawdown or tail risk without destroying the candidate's return profile.; Does not create hidden parameter tuning.; Pause reasons are auditable.,Overlay only improves results through tuned hindsight thresholds.; Overlay blocks most profitable recoveries.; Pause logic cannot be audited.,Over-filtering; Hindsight threshold creep; False sense of risk control,active_combo_vm_dsr_equal_weight_v1; breadth_state_regime_lane; all_future_candidates,Must not be counted as a separate alpha candidate in performance promotion reviews,define_candidate_specific_overlay_policy_before_any_backtest
orb_spy_qqq_30m_research_v1,SPY QQQ 30 Minute Opening Range Breakout Research,9,priority_3_intraday_research_only,opening_range_breakout,intraday_momentum,intraday,intraday_research_only,research_only_until_execution_ready,SPY; QQQ,SPY and QQQ only until intraday data and execution readiness are independently validated.,Upside breaks of the first 30-minute range may capture intraday trend days when volatility and session filters are favorable.,"After the first 30 minutes, enter long on a break above the opening range high only if pre-registered spread, volatility, and session filters pass.","Exit at a hard stop below the opening range midpoint or low, at a fixed session time, at max daily loss, or before the close; no overnight holds.",Single intraday position with fixed small notional risk per trade; no scaling in.,Research-only until execution infrastructure is proven.; Max 1 trade per day.; Hard stop required.; No overnight hold.; Daily and weekly loss kill switches.; Spread and data-quality filters required.,Small fixed research risk; exact notional must be pre-registered before testing,1,1,5,Intraday only; flat before close,Intraday OHLCV at 1-minute or 5-minute granularity; Bid-ask spread proxy; Session calendar; Corporate action adjusted ETF data,No paper/demo eligibility yet; Conservative slippage model required; No live or broker path,Buy-and-hold SPY/QQQ daily controls; Same-day no-trade baseline; Intraday random-entry control if later allowed,At least 3 years of high-quality intraday data before any demo review.,Positive expectancy after conservative slippage and spreads.; No dependence on untradeable first-tick fills.; Daily loss controls cap tail risk.,Edge disappears after spread/slippage.; Requires unverified intraday data.; Loss tails exceed small-account risk limits.,False opening breakouts; Execution slippage; Overnight gap temptation; Data-quality bias,none_intraday_not_previously_approved; ETF_wrapper_track_archived,Must remain research-only and must not be conflated with daily breakout candidates,hold_until_intraday_data_quality_plan_is_pre_registered
gap_down_fade_spy_qqq_research_v1,SPY QQQ Gap Down Fade Research,10,priority_3_intraday_research_only,gap_fade,intraday_reversion,intraday,intraday_research_only,research_only_until_execution_ready,SPY; QQQ,SPY and QQQ only until intraday data quality is proven.,"Large gap-down opens may partially revert intraday after selling pressure stabilizes, but only with strict stops and no overnight risk.",Enter long only after a pre-registered large gap-down open and stabilization condition are both observed; do not buy the opening print.,"Exit at VWAP, a fixed afternoon time, a hard stop below opening low or session ATR stop, max daily loss, or before close.",One small fixed-risk intraday position; no averaging down.,Research-only.; Max 1 trade per day.; No overnight hold.; Stop below opening low or fixed session ATR stop.; Max daily and weekly loss limits.; No trade during major data-quality or halt events.,Small fixed research risk; exact notional must be pre-registered before testing,1,1,5,Intraday only; flat before close,Intraday OHLCV; Prior daily close; Opening print validation; VWAP; Spread proxy; Session calendar,No opening-print fills assumed; Conservative slippage required; No broker or live path,No-trade baseline on gap days; Gap-down buy-at-open diagnostic only if data supports it; SPY/QQQ daily controls,At least 3 years of high-quality intraday data with gap-day sample diagnostics.,Positive expectancy after slippage.; Tail losses capped by hard stops.; Works across both SPY and QQQ or has a documented symbol-specific reason before testing.,Catches trend-down days too often.; Requires buying before stabilization is observable.; Gap sample too small for confidence.,Gap continuation; Stop gaps through level; VWAP target too optimistic; Data timestamp errors,none_intraday_not_previously_approved; ETF_wrapper_track_archived,"Distinct from daily ETF mean reversion because entry, stop, and exit are intraday and execution-dependent",hold_until_intraday_data_quality_plan_is_pre_registered
