criterion,score_0_to_5,weight_0_to_5,weighted_score,status,notes
target_profit_potential,4,4,16,plausible,"Single-name dispersion could help reach +10% to +13.3% faster than ETFs."
risk_budget_fit,2,5,10,weak,"Higher volatility also increases probability of violating the -20% project stop."
historical_evidence_quality,4,4,16,plausible,"Cross-sectional momentum is historically documented, but project-specific transfer is unproven."
data_availability,2,5,10,blocked,"Serious testing needs survivorship-free data, not current-ticker yfinance data."
survivorship_control,1,5,5,blocked,"No approved universe construction or historical membership source yet."
delisting_control,1,5,5,blocked,"No delisting-return treatment has been specified."
execution_realism,2,4,8,weak,"Large liquid names may be feasible later, but gaps and spreads need modeling."
slippage_model_feasibility,3,4,12,acceptable_with_caveats,"A conservative spread/slippage model is feasible for liquid large caps."
small_account_suitability,2,4,8,weak,"A $3,000 account limits diversification and increases concentration risk."
implementation_complexity,1,3,3,blocked,"Stock universe, corporate actions, and data storage make this materially more complex than ETFs."
overfitting_risk,1,5,5,high_risk,"Ranking windows, liquidity filters, and universe rules are easy to overfit."
benchmark_availability,4,3,12,strong,"SPY, ETF momentum, cash, stock universe, and momentum benchmarks can be defined."
validation_feasibility,2,4,8,weak,"Feasible only after data and universe issues are solved."
research_value,4,3,12,strong,"Useful next non-ETF research memo because stocks are a plausible broader opportunity family."
portfolio_value,3,2,6,acceptable_with_caveats,"May add insight beyond ETFs, but only if risk and execution are controlled."
overall_gate0_score,2.19,5,118/270,approve_gate1_only,"Skeptical weighted score supports Gate 1 feasibility review, not implementation."

