strategy_id,documented_rule,implemented_rule,actual_source_file_function,universe,rebalance_frequency,eligibility_rule,ranking_rule,allocation_rule,BIL_fallback,benchmark_set,decision_rule,discrepancy,discrepancy_severity,notes,source_exists
mf_wrapper_top1_trend_v1,Pick top eligible managed-futures wrapper by 126-day return above 200-day SMA; otherwise BIL.,mf_top1_trend,run_managed_futures_etf_wrapper_research_sample.py,DBMF;KMLM;CTA;FMF;WTMF;BIL,monthly,close > 200-day SMA; positive 126-day return where documented,126-day return or 126-day return / 60-day volatility depending on row,Pick top eligible managed-futures wrapper by 126-day return above 200-day SMA; otherwise BIL.,unused or failed sleeves route to BIL,SPY_200d;SPY_buy_hold;QQQ_buy_hold;BIL_cash_proxy,promotion only after score/target/risk/duplicate gates; otherwise watchlist/risk labels,False,low,Source implementation found and rule matches documented fixed-rule intent at audit level.,True
mf_wrapper_top2_risk_adjusted_v1,Pick top two eligible wrappers by 126-day return divided by 60-day volatility; unused slots to BIL.,mf_top2_risk_adjusted,run_managed_futures_etf_wrapper_research_sample.py,DBMF;KMLM;CTA;FMF;WTMF;BIL,monthly,close > 200-day SMA; positive 126-day return where documented,126-day return or 126-day return / 60-day volatility depending on row,Pick top two eligible wrappers by 126-day return divided by 60-day volatility; unused slots to BIL.,unused or failed sleeves route to BIL,SPY_200d;SPY_buy_hold;QQQ_buy_hold;BIL_cash_proxy,promotion only after score/target/risk/duplicate gates; otherwise watchlist/risk labels,False,low,Source implementation found and rule matches documented fixed-rule intent at audit level.,True
mf_wrapper_plus_spy_70_30_v1,70% SPY if SPY above 200-day SMA else BIL; 30% top eligible wrapper else BIL.,mf_plus_spy,run_managed_futures_etf_wrapper_research_sample.py,SPY;DBMF;KMLM;CTA;FMF;WTMF;BIL,monthly,close > 200-day SMA; positive 126-day return where documented,126-day return or 126-day return / 60-day volatility depending on row,70% SPY if SPY above 200-day SMA else BIL; 30% top eligible wrapper else BIL.,unused or failed sleeves route to BIL,SPY_200d;SPY_buy_hold;QQQ_buy_hold;BIL_cash_proxy,promotion only after score/target/risk/duplicate gates; otherwise watchlist/risk labels,False,low,Source implementation found and rule matches documented fixed-rule intent at audit level.,True
mf_wrapper_defensive_cash_switch_v1,Equal-weight all eligible wrappers when at least two qualify; one qualifier gets 50% with 50% BIL; none gets 100% BIL.,mf_defensive_cash_switch,run_managed_futures_etf_wrapper_research_sample.py,DBMF;KMLM;CTA;FMF;WTMF;BIL,monthly,close > 200-day SMA; positive 126-day return where documented,126-day return or 126-day return / 60-day volatility depending on row,Equal-weight all eligible wrappers when at least two qualify; one qualifier gets 50% with 50% BIL; none gets 100% BIL.,unused or failed sleeves route to BIL,SPY_200d;SPY_buy_hold;QQQ_buy_hold;BIL_cash_proxy,promotion only after score/target/risk/duplicate gates; otherwise watchlist/risk labels,False,low,Source implementation found and rule matches documented fixed-rule intent at audit level.,True
dm_global_dual_momentum_top1_v1,Pick top eligible global equity by 126-day return with positive return and 200-day SMA gate; otherwise BIL.,dm_global_top1,run_dual_momentum_paa_etf_wrapper_research_sample.py,SPY;EFA;EEM;BIL,monthly,close > 200-day SMA; positive 126-day return where documented,126-day return or 126-day return / 60-day volatility depending on row,Pick top eligible global equity by 126-day return with positive return and 200-day SMA gate; otherwise BIL.,unused or failed sleeves route to BIL,SPY_200d;equal_weight_tactical_basket;SPY_buy_hold;QQQ_buy_hold;BIL_cash_proxy,promotion only after score/target/risk/duplicate gates; otherwise watchlist/risk labels,False,low,Source implementation found and rule matches documented fixed-rule intent at audit level.,True
dm_multi_asset_top2_absolute_momentum_v1,Pick top two positive absolute-momentum assets by 126-day return divided by 60-day volatility; unused slots to BIL.,dm_multi_top2,run_dual_momentum_paa_etf_wrapper_research_sample.py,SPY;QQQ;EFA;EEM;IWM;GLD;IEF;BIL,monthly,close > 200-day SMA; positive 126-day return where documented,126-day return or 126-day return / 60-day volatility depending on row,Pick top two positive absolute-momentum assets by 126-day return divided by 60-day volatility; unused slots to BIL.,unused or failed sleeves route to BIL,SPY_200d;equal_weight_tactical_basket;SPY_buy_hold;QQQ_buy_hold;BIL_cash_proxy,promotion only after score/target/risk/duplicate gates; otherwise watchlist/risk labels,False,low,Source implementation found and rule matches documented fixed-rule intent at audit level.,True
dm_protective_canary_bil_v1,"If both EFA and EEM fail canary eligibility, hold BIL; otherwise pick two offensive/defensive assets by risk-adjusted momentum.",dm_canary,run_dual_momentum_paa_etf_wrapper_research_sample.py,SPY;QQQ;EFA;EEM;GLD;IEF;BIL,monthly,close > 200-day SMA; positive 126-day return where documented,126-day return or 126-day return / 60-day volatility depending on row,"If both EFA and EEM fail canary eligibility, hold BIL; otherwise pick two offensive/defensive assets by risk-adjusted momentum.",unused or failed sleeves route to BIL,SPY_200d;equal_weight_tactical_basket;SPY_buy_hold;QQQ_buy_hold;BIL_cash_proxy,promotion only after score/target/risk/duplicate gates; otherwise watchlist/risk labels,False,low,Source implementation found and rule matches documented fixed-rule intent at audit level.,True
dm_balanced_offensive_defensive_v1,60% best offensive when SPY above 200-day SMA plus 40% best defensive; otherwise 60% BIL and 40% defensive.,dm_balanced,run_dual_momentum_paa_etf_wrapper_research_sample.py,SPY;QQQ;EFA;EEM;GLD;IEF;BIL,monthly,close > 200-day SMA; positive 126-day return where documented,126-day return or 126-day return / 60-day volatility depending on row,60% best offensive when SPY above 200-day SMA plus 40% best defensive; otherwise 60% BIL and 40% defensive.,unused or failed sleeves route to BIL,SPY_200d;equal_weight_tactical_basket;SPY_buy_hold;QQQ_buy_hold;BIL_cash_proxy,promotion only after score/target/risk/duplicate gates; otherwise watchlist/risk labels,False,low,Source implementation found and rule matches documented fixed-rule intent at audit level.,True
dm_paa_breadth_protection_v1,"If fewer than two risky assets are positive and above trend, split defensive/BIL; otherwise pick top two risk-adjusted assets.",dm_paa_breadth,run_dual_momentum_paa_etf_wrapper_research_sample.py,SPY;QQQ;EFA;EEM;IWM;GLD;IEF;BIL,monthly,close > 200-day SMA; positive 126-day return where documented,126-day return or 126-day return / 60-day volatility depending on row,"If fewer than two risky assets are positive and above trend, split defensive/BIL; otherwise pick top two risk-adjusted assets.",unused or failed sleeves route to BIL,SPY_200d;equal_weight_tactical_basket;SPY_buy_hold;QQQ_buy_hold;BIL_cash_proxy,promotion only after score/target/risk/duplicate gates; otherwise watchlist/risk labels,False,low,Source implementation found and rule matches documented fixed-rule intent at audit level.,True
gtaa_top3_trend_filter_v1,Pick top three assets by 126-day return among assets above 200-day SMA; unused slots to BIL.,gtaa_top3,run_parallel_research_discovery.py,SPY;QQQ;EFA;EEM;IWM;GLD;IEF;BIL,monthly,close > 200-day SMA; positive 126-day return where documented,126-day return or 126-day return / 60-day volatility depending on row,Pick top three assets by 126-day return among assets above 200-day SMA; unused slots to BIL.,unused or failed sleeves route to BIL,SPY_200d;SPY_buy_hold;QQQ_buy_hold;BIL_cash_proxy,promotion only after score/target/risk/duplicate gates; otherwise watchlist/risk labels,False,low,Source implementation found and rule matches documented fixed-rule intent at audit level.,True
