strategy_id,role,current_status,evidence_tier,why_preserved,can_be_changed,allowed_next_actions,forbidden_next_actions
SPY_200d_trend_model,keep_frozen_control,active_observation,tier4_paper_forward,Frozen control or benchmark/control row must remain preserved for comparison; no rule mutation is allowed.,False,observe_only,change_rules;tune_parameters;promote_to_real_money;add_broker_integration;place_orders
current_no_cash_proxy_alpha_AB,keep_active_observation,active_observation,tier4_paper_forward,Active paper/demo observation row is protected; review can record status but must not mutate rules or activate anything new.,False,observe_only,change_rules;tune_parameters;promote_to_real_money;add_broker_integration;place_orders
SPY_buy_hold,keep_frozen_control,benchmark,benchmark,Frozen control or benchmark/control row must remain preserved for comparison; no rule mutation is allowed.,False,compare_only,change_rules;tune_parameters;promote_to_real_money;add_broker_integration;place_orders
BIL_cash_proxy,keep_frozen_control,benchmark,benchmark,Frozen control or benchmark/control row must remain preserved for comparison; no rule mutation is allowed.,False,compare_only,change_rules;tune_parameters;promote_to_real_money;add_broker_integration;place_orders
family_broad_etf_spy200d_v1,keep_frozen_control,benchmark_candidate,tier3_candidate_validation,Frozen control or benchmark/control row must remain preserved for comparison; no rule mutation is allowed.,False,run_challenge_audit,treat_as_portfolio_allocation;promote_to_real_money;add_broker_integration;treat_as_validated_without_exhaustive
family_broad_etf_spy_buy_hold_v1,keep_frozen_control,benchmark_candidate,benchmark,Frozen control or benchmark/control row must remain preserved for comparison; no rule mutation is allowed.,False,run_challenge_audit,treat_as_portfolio_allocation;promote_to_real_money;add_broker_integration;treat_as_validated_without_exhaustive
family_cash_treasury_bil_v1,keep_frozen_control,benchmark,benchmark,Frozen control or benchmark/control row must remain preserved for comparison; no rule mutation is allowed.,False,run_challenge_audit,treat_as_portfolio_allocation;promote_to_real_money;add_broker_integration;treat_as_validated_without_exhaustive
family_bond_treasury_ief_v1,keep_frozen_control,benchmark,benchmark,Frozen control or benchmark/control row must remain preserved for comparison; no rule mutation is allowed.,False,run_challenge_audit,treat_as_portfolio_allocation;promote_to_real_money;add_broker_integration;treat_as_validated_without_exhaustive
family_gold_gld_v1,keep_frozen_control,benchmark,benchmark,Frozen control or benchmark/control row must remain preserved for comparison; no rule mutation is allowed.,False,run_challenge_audit,treat_as_portfolio_allocation;promote_to_real_money;add_broker_integration;treat_as_validated_without_exhaustive
profit_combo_SPY200d_GLD_50_50_v1,keep_active_observation,active_paper_demo_observation,tier2_credible_prototype,Active paper/demo observation row is protected; review can record status but must not mutate rules or activate anything new.,False,run_monthly_paper_forward_checkpoint,activate_without_observation_prompt;replace_spy200d_without_governance;promote_to_real_money;add_broker_integration;change_strategy_rules;tune_parameters;skip_checkpoints;fabricate_missing_data;place_live_orders;observe_as_paper_forward_without_observation_plan;replace_spy200d_without_explicit_decision;change_paper_forward_rules;tune_weights
asset_class_tsmom_top2_v1,mark_historical_leader,exploratory_only,tier2_credible_prototype,"Historical leader or serious challenger should be preserved as comparison evidence, not mutated or deleted.",False,run_profit_exploration,observe_as_paper_forward;promote_to_real_money;add_broker_integration;treat_as_validated_without_candidate_exhaustive;tune_parameters;change_paper_forward_rules
