strategy_id,family,instrument_lane,evidence_tier,current_status,promotion_decision,failure_mode,closest_to_promotion_score,readiness_label,gap_recommended_next_action,failure_mode_reason,exact_evidence_needed_to_change_decision,duplicate_of,duplication_risk
portfolio_spy200d_80_bil_20_v1,fixed_weight_portfolio,diversified ETF portfolio,tier3_candidate_validation,duplicate_or_near_duplicate,mark_duplicate_or_near_duplicate,duplicate_existing_leader,0,not_close,keep_watchlist_due_to_duplicate_behavior,Row duplicates or mostly inherits existing leader behavior (leader overlap flagged).,incremental target-window and attribution evidence,,duplicate_or_near_duplicate
portfolio_spy200d_70_bil_30_v1,fixed_weight_portfolio,diversified ETF portfolio,tier3_candidate_validation,duplicate_or_near_duplicate,mark_duplicate_or_near_duplicate,duplicate_existing_leader,0,not_close,keep_watchlist_due_to_duplicate_behavior,Row duplicates or mostly inherits existing leader behavior (leader overlap flagged).,incremental target-window and attribution evidence,,duplicate_or_near_duplicate
dual_momentum_SPY_GLD_IEF_v1,dual_momentum,ETF,tier2_credible_prototype,duplicate_skipped,mark_duplicate_or_near_duplicate,duplicate_existing_leader,0,not_close,keep_watchlist_due_to_duplicate_behavior,Row duplicates or mostly inherits existing leader behavior (leader overlap flagged).,incremental target-window and attribution evidence,,duplicate_skipped
value_momentum_factor_etf_rotation_v1,factor_rotation,ETF,tier2_credible_prototype,duplicate_or_near_duplicate,mark_duplicate_or_near_duplicate,duplicate_existing_leader,0,not_close,keep_watchlist_due_to_duplicate_behavior,Row duplicates or mostly inherits existing leader behavior (leader overlap flagged).,incremental target-window and attribution evidence,,canonical_unique
combo_plus_top2_50_50_v1,fixed_strategy_combination,fixed ETF combination,tier2_credible_prototype,duplicate_or_near_duplicate,mark_duplicate_or_near_duplicate,duplicate_existing_leader,0,not_close,keep_watchlist_due_to_duplicate_behavior,Row duplicates or mostly inherits existing leader behavior (leader overlap flagged).,incremental target-window and attribution evidence,,duplicate_or_near_duplicate
combo_plus_commodity_basket_80_20_v1,fixed_strategy_combination,commodity_ETF,tier1_or_tier2_exploratory,watchlist,mark_duplicate_or_near_duplicate,duplicate_existing_leader,0,not_close,keep_watchlist_due_to_duplicate_behavior,Row duplicates or mostly inherits existing leader behavior (leader overlap flagged).,incremental target-window and attribution evidence,,combo_SPY200d_GLD_50_50_v1 correlation 0.962
combo_plus_crypto_spot_tsmom_90_10_v1,fixed_strategy_combination,crypto_spot,tier2_exploratory,research_sample_candidate,mark_duplicate_or_near_duplicate,duplicate_existing_leader,0,not_close,keep_watchlist_due_to_duplicate_behavior,Row duplicates or mostly inherits existing leader behavior (leader overlap flagged).,incremental target-window and attribution evidence,,combo_SPY200d_GLD_50_50_v1 correlation 0.982
global_multi_asset_tsmom_top2_v1,global_multi_asset_etf_momentum,etf_fund_wrappers,tier1_or_tier2_exploratory,research_sample_candidate_risk_budget_breach,mark_duplicate_or_near_duplicate,duplicate_existing_leader,10,not_close,keep_watchlist_due_to_duplicate_behavior,Row duplicates or mostly inherits existing leader behavior (nan).,incremental target-window and attribution evidence,nan,canonical_unique
global_multi_asset_tsmom_top2_defensive_50_v1,global_multi_asset_etf_momentum,etf_fund_wrappers,tier1_or_tier2_exploratory,watchlist,mark_duplicate_or_near_duplicate,duplicate_existing_leader,10,not_close,keep_watchlist_due_to_duplicate_behavior,Row duplicates or mostly inherits existing leader behavior (nan).,incremental target-window and attribution evidence,nan,canonical_unique
combo_plus_global_multi_asset_80_20_v1,fixed_strategy_combination,etf_fund_wrappers,tier1_or_tier2_exploratory,watchlist,mark_duplicate_or_near_duplicate,duplicate_existing_leader,10,not_close,keep_watchlist_due_to_duplicate_behavior,Row duplicates or mostly inherits existing leader behavior (nan).,incremental target-window and attribution evidence,nan,combo_SPY200d_GLD_50_50_v1 correlation 0.960
