provider,access_type,likely_cost_level,requires_institutional_access,requires_api_key,survivorship_free_possible,delisted_names_available,delisting_returns_available,point_in_time_universe_possible,corporate_actions_available,adjusted_prices_available,historical_depth,ease_of_local_cache,api_rate_limit_risk,terms_or_license_risk,implementation_complexity,credibility_tier_possible,suitable_for_serious_evidence,suitable_for_toy_exploration,blocker,next_action
CRSP,academic_or_institutional,paid_or_restricted,yes,unknown,yes,yes,likely,yes,likely,likely,deep,medium,unknown,high,high,Tier3,yes,no,access_and_cost_restricted,verify_access_and_terms
Norgate Data,paid_desktop_or_local_data,paid_or_restricted,no,unknown,likely,likely,requires_verification,likely,likely,likely,deep,likely,low,medium,medium,Tier2_or_Tier3,likely,yes,affordability_and_license_verification,provider_terms_security_review_if_affordable
Nasdaq Data Link / Sharadar,paid_api_dataset,paid_or_restricted,no,yes,requires_verification,likely,requires_verification,requires_verification,likely,likely,deep,medium,medium,medium,medium,Tier2_or_Tier3_if_fields_verify,requires_verification,yes,subscription_and_delisting_fields_verification,verify_package_fields_and_terms
Polygon/Massive,market_data_api,paid_or_restricted,no,yes,unknown,requires_verification,unknown,unknown,likely,likely,medium_to_deep,medium,high,medium,medium,Tier1_or_Tier2_if_verified,unknown,yes,survivorship_and_PIT_unclear,review_delisted_and_universe_support
Tiingo,market_data_api,paid_or_restricted,no,yes,unknown,requires_verification,unknown,unknown,likely,likely,medium_to_deep,medium,medium,medium,medium,Tier1_or_Tier2_if_verified,unknown,yes,survivorship_and_delisting_unclear,review_coverage_and_terms
EODHD,market_data_api,paid_or_restricted,no,yes,unknown,requires_verification,unknown,unknown,likely,likely,medium_to_deep,medium,medium,medium,medium,Tier1_or_Tier2_if_verified,unknown,yes,delisting_returns_and_PIT_unclear,review_coverage_and_terms
Alpaca,broker_or_data_api,unknown,no,yes,no,unknown,unknown,no,unknown,likely,limited_for_historical,medium,medium,medium,medium,Tier1,toy_only,yes,broker_adjacent_and_not_survivorship_free,do_not_use_for_serious_history
Interactive Brokers,broker_or_data_access,paid_or_restricted,no,yes,no,unknown,unknown,no,unknown,likely,limited_for_historical,low,medium,high,high,Tier1,toy_only,yes,broker_boundary_and_historical_universe_gap,do_not_use_for_serious_history
yfinance/current ticker lists,public_current_ticker_prices,free_or_terms_unclear,no,no,no,no,no,no,partial,likely,limited_by_current_symbols,high,medium,medium,low,Tier1,toy_only,yes,current_ticker_survivorship_bias,toy_only_if_ever_used
Stooq/public CSV,public_csv,free_or_unknown,no,no,unknown,unknown,unknown,unknown,unknown,likely,unknown,medium,low_to_medium,medium,low_to_medium,Tier1,toy_only,yes,terms_adjustments_survivorship_reproducibility_unclear,toy_or_defer

