candidate_id,display_name,version,strategy_family,instrument_family,return_driver,source_prior,evidence_quality,evidence_tier,current_status,recommended_next_action,implementation_allowed_now,paper_forward_allowed_now,paper_forward_active,real_money_recommendation,broker_integration_required,live_orders_required,uses_leverage,uses_shorting,uses_margin,requires_new_data,required_symbols_or_data,current_engine_can_test,expected_correlation_with_current_finalists,diversification_value,target_potential,stop_risk,data_gate_status,execution_gate_status,risk_model_gate_status,benchmark_gate_status,complexity_gate_status,anti_overfitting_risk,primary_benchmark,failure_mode,reason_to_test,reason_to_reject_or_defer,promotion_requirements,notes
qqq_spy_gld_ief_dual_momentum_v1,QQQ/SPY/GLD/IEF Dual Momentum,v1,dual_momentum,ETF,relative_momentum_plus_absolute_trend,momentum and trend-following literature; ETF-testable extension,moderate,tier1_research_queue,research_queue,evaluate_after_current_finalists,False,False,False,False,False,False,False,False,False,maybe,"QQQ, SPY, GLD, IEF, BIL",yes_if_cached_data_available,medium_high,medium,medium_high,medium_high,needs_cache_check,pass_for_daily_etf_if_cached,needs_pre_implementation_review,compare_to_SPY_200d_combo_top2_GLD_BIL,pass_if_single_fixed_rule,medium,combo_SPY200d_GLD_50_50_v1,duplicates equity momentum and increases risk-on exposure,adds growth/equity momentum exposure through QQQ while retaining GLD/IEF/BIL defensive assets,may mostly duplicate equity momentum and increase risk-on exposure,must beat SPY_200d and combo_SPY200d_GLD_50_50 after stress and rolling windows,Highest ETF implementation-review candidate only after current finalist validation; no code in this task.
value_momentum_factor_etf_rotation_v1,Value/Momentum Factor ETF Rotation,v1,factor_rotation,ETF,value_momentum_factor_premia,value and momentum research across markets,moderate_to_strong_prior_but_etf_proxy_uncertain,tier1_research_queue,research_queue,symbol_availability_and_proxy_review,False,False,False,False,False,False,False,False,False,likely,"MTUM, VLUE or VTV, QUAL, USMV, SPY, BIL",yes_if_symbols_cached_or_later_download_allowed,medium,medium,medium,medium,needs_symbol_history_review,pass_for_daily_etf_if_data_valid,needs_factor_proxy_review,compare_to_SPY_200d_combo_top2_factor_benchmarks,pass_if_small_fixed_universe,medium_high,SPY_200d_trend_model,ETF proxy history and fund construction may not match academic factor returns,value plus momentum has broad research priors and may diversify SPY/GLD trend exposure,"ETF factor proxies may have short histories, fund construction effects, and may not reproduce academic factor returns","first verify ETF proxy history, inception dates, and benchmark relevance",Queue-only factor rotation idea; no data download or implementation in this task.
low_vol_quality_defensive_rotation_v1,Low-Volatility / Quality Defensive Rotation,v1,defensive_factor_rotation,ETF,low_volatility_quality_defensive_equity,low-volatility / quality factor and defensive-equity literature,moderate,tier1_research_queue,research_queue,proxy_and_target_fit_review,False,False,False,False,False,False,False,False,False,likely,"USMV, SPLV, QUAL, SPY, BIL",yes_if_symbols_cached_or_later_download_allowed,medium,medium,low_to_medium,low_to_medium,needs_symbol_history_review,pass_for_daily_etf_if_data_valid,needs_too_slow_review,compare_to_BIL_IEF_combo_SPY_200d,pass_if_small_fixed_universe,medium,BIL_cash_proxy,drawdown improves but target probability collapses,may reduce drawdown while preserving some equity upside,may be too slow for +300/+400 and may not improve over combo or SPY_200d,must show better stop-aware profit than BIL/IEF defensive alternatives and avoid being too slow,Defensive candidate only; not a paper-forward replacement.
sector_top2_momentum_simple_v1,Simple Sector ETF Top-2 Momentum,v1,sector_momentum,sector_ETF,cross_sectional_sector_momentum,momentum and sector dispersion,moderate,tier1_research_queue,research_queue,exact_stream_or_clean_implementation_review,False,False,False,False,False,False,False,False,False,no_if_existing_sector_cache_available,sector ETF universe already used by A_ETF_sector_momentum if available,yes_but_exact_fresh_window_stream_issue_exists,high,low_to_medium,medium_high,medium,needs_exact_stream_or_cached_sector_review,pass_for_daily_etf_if_stream_exposed,needs_fresh_window_integrity,compare_to_A_ETF_sector_momentum_and_SPY_200d,pass_if_clean_minimal_version,medium_high,SPY_200d_trend_model,duplicates or approximates existing A-sector evidence without exact rolling stream,sector dispersion can improve target probability versus broad SPY,existing A-sector family stream is incomplete in compact/family/profit comparisons,expose exact fresh-window stream or implement clean minimal version without modifying A,Do not approximate from summaries; no implementation in this task.
managed_futures_proxy_etf_trend_v1,Managed-Futures Proxy ETF Trend,v1,managed_futures_style_trend,ETF_or_fund_proxy,diversified_trend_following_proxy,managed futures and trend-following literature,moderate_prior_but_proxy_data_uncertain,tier1_research_queue,data_gated,data_availability_and_inception_review,False,False,False,False,False,False,False,False,False,likely,"DBMF, KMLM, CTA, or other managed-futures ETF/fund proxies",only_if_symbols_available_and_history_sufficient,low_to_medium,high_if_data_usable,medium,medium,data_gated_short_history_risk,pass_for_daily_fund_proxy_only,needs_proxy_methodology_review,compare_to_BIL_IEF_GLD_combo,medium_proxy_complexity,medium_high,combo_SPY200d_GLD_50_50_v1,short fund history creates false confidence,may add a return driver different from SPY/GLD/BIL and improve crisis diversification,"many ETFs have short history, fund methodology differences, and may not represent long-term managed futures research",must pass inception/date coverage review and avoid short-history bias,Data-gated only; no futures implementation.
treasury_duration_trend_rotation_v1,Treasury Duration Trend Rotation,v1,bond_trend_rotation,Treasury_ETF,duration_trend_and_rate_regime,bond trend/rate regime behavior,moderate,tier1_research_queue,research_queue,symbol_availability_review,False,False,False,False,False,False,False,False,False,maybe,"SHY, IEF, TLT, BIL",yes_if_symbols_cached,low_to_medium,medium,low_to_medium,low_to_medium,needs_cache_check,pass_for_daily_etf_if_cached,needs_too_slow_review,compare_to_IEF_BIL_combo,pass_if_fixed_duration_universe,medium,IEF_buy_hold,improves drawdown but destroys target probability,may improve defensive behavior and rate-regime adaptation,likely too slow for +300/+400 unless paired with higher-return assets,must show it improves combo/top2 drawdown without destroying target probability,Defensive ETF research queue only.
commodity_basket_etf_momentum_v1,Commodity Basket ETF Momentum,v1,commodity_momentum,commodity_ETF,commodity_trend_and_inflation_regime,trend-following and commodity momentum literature,moderate_prior_but_proxy_uncertain,tier1_research_queue,data_gated,data_availability_and_proxy_review,False,False,False,False,False,False,False,False,False,likely,"DBC, GSG, GLD, BIL",yes_if_symbols_cached_or_later_download_allowed,low_to_medium,medium_to_high,medium,medium_high,data_gated_proxy_structure_review,pass_for_daily_etf_if_proxy_approved,needs_roll_yield_product_review,compare_to_GLD_and_combo,medium_product_structure_complexity,medium_high,GLD_buy_hold,commodity ETF roll yield or structure distorts results,may diversify beyond equity/gold/bond and perform in inflationary regimes,"commodity ETF structure, roll yield, and product history can distort results",must pass product-structure and inception-date review,Data-gated commodity proxy candidate.
crypto_spot_tsmom_tier2_review_v1,Crypto Spot TSMOM Tier-2 Review Candidate,v1,crypto_spot_trend,crypto_spot,high_volatility_trend,"exploratory project evidence only, not final",weak_to_moderate_exploratory,tier1_research_queue,data_gated,tier2_data_execution_memo,False,False,False,False,False,False,False,False,False,yes_for_tier2,"exchange-specific BTC/ETH spot OHLCV, fees, spreads, 24/7 handling",exploratory_only,low_to_medium,high_but_unproven,high,very_high,data_gated_exchange_specific,execution_gated_fees_spreads_24_7,risk_gated_high_volatility,needs_crypto_benchmark_policy,high,high,crypto_buy_hold_equal_weight,Tier 1 data overstates tradability or ignores execution friction,high target potential seen in Tier 1 exploratory rows,"yfinance crypto data is Tier 1 only, exchange/friction risks unresolved",dedicated Tier 2 memo with exchange-specific data and fee/spread assumptions,Research queue only; no crypto changes in this task.
individual_stock_momentum_gate1b_v1,Individual Stock Momentum Gate 1B Cost/Data Review,v1,individual_stock_momentum,individual_stocks,cross_sectional_stock_momentum,"documented stock momentum prior, not project-validated",moderate_prior_but_project_blocked,blocked_by_gate,data_gated,gate1b_cost_access_review,False,False,False,False,False,False,False,False,False,True,"survivorship-free active and delisted stock universe, delisting returns, corporate actions, point-in-time universe, earnings policy",False,medium,medium_to_high_if_data_valid,high,high,blocked_until_survivorship_free_data_review,execution_gated_single_name_costs,risk_gated_single_name_dispersion,needs_stock_momentum_benchmark_policy,high,high,SPY_200d_trend_model,survivorship bias and current-ticker toy evidence,single-name dispersion may improve target probability,Gate 1 decision remains defer; yfinance/current tickers are toy-only; serious data unresolved,"verified survivorship-free data, delisting treatment, point-in-time universe, execution model, benchmarks, cost/runtime",Research-only Gate 1B review candidate; no stock loader or strategy implementation.
options_futures_forex_intraday_blocked_reference_v1,High-Complexity Instrument Blocked Reference,v1,multi_blocked_reference,options_futures_forex_intraday_volatility,various,mixed,not_implementable_now,blocked_by_gate,reject_for_now,no_code_until_gate0_gate1,False,False,False,False,False,False,often,often,often,True,"options chains, futures continuous contracts, forex financing/spreads, intraday data, volatility product mechanics",False,unknown,unknown,high_in_theory,very_high,blocked_by_gate,blocked_by_gate,blocked_by_gate,missing,blocked_by_complexity,very_high,none,"missing execution, margin, spread, chain, roll, and timestamp models",may hit targets in theory,"current project lacks execution, margin, spread, chain, roll, and timestamp models",full Gate 0 and Gate 1 before any code,"Blocked reference row only; no options, futures, forex, intraday, or volatility-product implementation."
