id,display_name,lane,instrument_family,strategy_family,version,parent_id,credibility_tier,status,role,rules_frozen,paper_forward_active,implementation_status,data_source,evidence_source,latest_evidence_path,latest_known_result_summary,allowed_next_action,forbidden_next_actions,promotion_requirements,demotion_or_kill_criteria,notes,risk_framework_status,paper_forward_allowed_by_risk_framework,promotion_blockers
SPY_200d_trend_model,SPY 200-Day Trend Model,paper_forward,ETF,absolute_trend,v1,,tier4_paper_forward,active_observation,primary_watchlist_candidate,True,True,implemented,existing_adjusted_etf_cache,focused_candidate_exhaustive_and_paper_forward,evidence/paper_forward_runs/latest/,Leading ETF watchlist candidate after exact compact challenge audit; active paper-forward observation.,observe_only,change_rules;tune_parameters;promote_to_real_money;add_broker_integration;place_orders,No promotion in current project; observe fixed rules only.,"Stop hit, unauditable data issue, or materially worse paper-forward behavior than historical context.",Frozen paper-forward benchmark-like candidate; not real-money validated.,paper_forward_allowed,True,no_real_money_promotion;rules_frozen_observe_only
current_no_cash_proxy_alpha_AB,Current No-Cash-Proxy Alpha A/B,paper_forward,ETF,sector_momentum_plus_trend_following,v1,,tier4_paper_forward,active_observation,strategy_control,True,True,implemented,existing_adjusted_etf_cache,focused_candidate_exhaustive_and_paper_forward,evidence/paper_forward_runs/latest/,Lower stop risk than SPY benchmarks but lower 90-day target hit rates.,observe_only,change_rules;tune_parameters;promote_to_real_money;add_broker_integration;place_orders,No rule changes during observation; improvements require new version id.,"Stop hit, persistent underperformance, or unauditable signal state.",Frozen strategy-control row; A/B signal extraction may be limited in compact paper-forward packet.,paper_forward_allowed,True,no_real_money_promotion;rules_frozen_observe_only
SPY_buy_hold,SPY Buy And Hold,paper_forward,ETF,buy_and_hold,v1,,benchmark,benchmark,aggressive_benchmark,True,True,benchmark_only,existing_adjusted_etf_cache,compact_challenge_and_paper_forward,evidence/paper_forward_runs/latest/,Highest exact 90-day target rates but materially worse stop and drawdown risk.,compare_only,change_rules;tune_parameters;promote_to_real_money;add_broker_integration;place_orders,Benchmark only; no promotion.,Not applicable.,"Aggressive benchmark, not a strategy recommendation.",benchmark_allowed,True,benchmark_only;no_real_money_promotion
BIL_cash_proxy,BIL Cash Proxy,paper_forward,ETF,cash_proxy,v1,,benchmark,benchmark,defensive_benchmark,True,True,benchmark_only,existing_adjusted_etf_cache,compact_challenge_and_paper_forward,evidence/paper_forward_runs/latest/,Defensive/cash benchmark; too slow for +300/+400 challenge.,compare_only,change_rules;tune_parameters;promote_to_real_money;add_broker_integration;place_orders,Benchmark only; no promotion.,Not applicable.,Defensive comparator only.,benchmark_allowed,True,benchmark_only;no_real_money_promotion
SPY_200d_trend_model_sim_1_25x_v1,SPY 200-Day Trend Model Simulated 1.25x,compact_challenge,ETF simulated leverage,trend leverage diagnostic,v1,SPY_200d_trend_model,tier1_exploratory,too_risky,simulated_leverage_diagnostic,True,False,implemented_exploratory,existing_adjusted_etf_cache,compact_challenge_diagnostic,evidence/challenge_runs/latest/,"Target odds improved, but exact diagnostic showed worst 90-day drawdown beyond the -$600 risk budget.",audit_harden,observe_as_paper_forward;promote_to_real_money;add_broker_integration;treat_as_validated;tune_leverage_multiplier,Not eligible without separate Tier 2 leverage feasibility review and fixed risk model.,"Stop risk, drawdown, or stress degradation is materially worse than unlevered SPY_200d.","Diagnostic only; no real margin, liquidation, or leveraged product model.",,,
SPY_200d_trend_model_sim_1_5x_v1,SPY 200-Day Trend Model Simulated 1.5x,compact_challenge,ETF simulated leverage,trend leverage diagnostic,v1,SPY_200d_trend_model,tier1_exploratory,too_risky,simulated_leverage_diagnostic,True,False,implemented_exploratory,existing_adjusted_etf_cache,compact_challenge_diagnostic,evidence/challenge_runs/latest/,Approximate 1.5x return-multiplier diagnostic; expected higher stop-risk burden.,audit_harden,observe_as_paper_forward;promote_to_real_money;add_broker_integration;treat_as_validated;tune_leverage_multiplier,Not eligible without separate Tier 2 leverage feasibility review and fixed risk model.,"Stop risk, drawdown, or stress degradation remains materially worse than unlevered SPY_200d.",Diagnostic only; not a paper-forward or real-money candidate.,,,
SPY_buy_hold_sim_1_25x_v1,SPY Buy And Hold Simulated 1.25x,compact_challenge,ETF simulated leverage,buy_hold leverage diagnostic,v1,SPY_buy_hold,tier1_exploratory,too_risky,simulated_leverage_diagnostic,True,False,implemented_exploratory,existing_adjusted_etf_cache,compact_challenge_diagnostic,evidence/challenge_runs/latest/,Approximate buy-hold leverage diagnostic; benchmark stress scenario only.,audit_harden,observe_as_paper_forward;promote_to_real_money;add_broker_integration;treat_as_validated;tune_leverage_multiplier,Not eligible without separate Tier 2 leverage feasibility review and fixed risk model.,Drawdown or stop risk remains materially worse than unlevered benchmark.,Diagnostic only; buy-hold leverage must not be treated as a practical candidate.,,,
SPY_buy_hold_sim_1_5x_v1,SPY Buy And Hold Simulated 1.5x,compact_challenge,ETF simulated leverage,buy_hold leverage diagnostic,v1,SPY_buy_hold,tier1_exploratory,too_risky,simulated_leverage_diagnostic,True,False,implemented_exploratory,existing_adjusted_etf_cache,compact_challenge_diagnostic,evidence/challenge_runs/latest/,Approximate buy-hold leverage diagnostic; high-risk benchmark stress scenario only.,audit_harden,observe_as_paper_forward;promote_to_real_money;add_broker_integration;treat_as_validated;tune_leverage_multiplier,Not eligible without separate Tier 2 leverage feasibility review and fixed risk model.,Drawdown or stop risk remains materially worse than unlevered benchmark.,"Diagnostic only; no real margin, liquidation, or leveraged ETF path-dependency model.",,,
SPY_200d_exposure_frontier_1_05x_v1,SPY 200-Day Exposure Frontier 1.05x,compact_challenge,ETF simulated exposure,SPY_200d exposure frontier diagnostic,v1,SPY_200d_trend_model,tier1_exploratory,too_risky,risk_budget_diagnostic,True,False,implemented_exploratory,existing_adjusted_etf_cache,compact_challenge_exposure_frontier,evidence/challenge_runs/latest/,"Target odds improved, but diagnostic score favored 1.00x and drawdown/stop risk worsened.",audit_harden,observe_as_paper_forward;promote_to_real_money;add_broker_integration;treat_as_validated;tune_exposure_multiplier,Not eligible without separate Tier 2 exposure feasibility review and fixed risk model.,"Stop risk, overshoot, drawdown, or stress degradation is materially worse than unlevered SPY_200d.","Diagnostic only; no real margin, liquidation, or leveraged ETF path-dependency model.",,,
SPY_200d_exposure_frontier_1_10x_v1,SPY 200-Day Exposure Frontier 1.10x,compact_challenge,ETF simulated exposure,SPY_200d exposure frontier diagnostic,v1,SPY_200d_trend_model,tier1_exploratory,too_risky,risk_budget_diagnostic,True,False,implemented_exploratory,existing_adjusted_etf_cache,compact_challenge_exposure_frontier,evidence/challenge_runs/latest/,"Target odds improved, but stop-hit rate and worst drawdown worsened versus 1.00x.",audit_harden,observe_as_paper_forward;promote_to_real_money;add_broker_integration;treat_as_validated;tune_exposure_multiplier,Not eligible without separate Tier 2 exposure feasibility review and fixed risk model.,"Stop risk, overshoot, drawdown, or stress degradation is materially worse than unlevered SPY_200d.","Diagnostic only; no real margin, liquidation, or leveraged ETF path-dependency model.",,,
SPY_200d_exposure_frontier_1_15x_v1,SPY 200-Day Exposure Frontier 1.15x,compact_challenge,ETF simulated exposure,SPY_200d exposure frontier diagnostic,v1,SPY_200d_trend_model,tier1_exploratory,too_risky,risk_budget_diagnostic,True,False,implemented_exploratory,existing_adjusted_etf_cache,compact_challenge_exposure_frontier,evidence/challenge_runs/latest/,"Target odds improved, but stop-hit rate and worst drawdown worsened versus 1.00x.",audit_harden,observe_as_paper_forward;promote_to_real_money;add_broker_integration;treat_as_validated;tune_exposure_multiplier,Not eligible without separate Tier 2 exposure feasibility review and fixed risk model.,"Stop risk, overshoot, drawdown, or stress degradation is materially worse than unlevered SPY_200d.","Diagnostic only; no real margin, liquidation, or leveraged ETF path-dependency model.",,,
