candidate_id,priority_rank,family,diversity_family,timeframe,instrument_scope,edge_type,risk_level,execution_difficulty,demo_eligibility,status
dmr_liquid_etf_oversold_rebound_v1,1,daily_mean_reversion,mean-reversion,daily,broad ETFs; sector ETFs,mean_reversion,medium,low,daily_demo_review_possible_after_validation,daily_research_candidate
vm_spy_qqq_daily_vol_target_v1,2,volatility_managed_equity,volatility-management,daily,risk-on/risk-off pair,volatility_management,medium,low,daily_demo_review_possible_after_validation,daily_research_candidate
sector_rs_weekly_cash_filter_v1,3,sector_relative_strength_rotation,sector-rotation,weekly,sector ETFs,sector_rotation,medium,low,weekly_demo_review_possible_after_validation,registered_not_tested
vol_compression_breakout_etf_v1,4,volatility_compression_breakout,breakout,daily,broad ETFs; sector ETFs,breakout,medium_high,low,daily_demo_review_possible_after_validation,daily_research_candidate
rs_pair_rotation_spy_qqq_xlk_xlu_v1,5,long_only_relative_strength_pair_rotation,relative-strength,weekly,risk-on/risk-off pair,relative_strength,medium,low,weekly_demo_review_possible_after_validation,registered_not_tested
donchian_atr_breakout_etf_v1,6,daily_breakout,trend-following,daily,broad ETFs; sector ETFs,trend-following breakout,medium_high,low,daily_demo_review_possible_after_validation,daily_research_candidate
turn_of_month_spy_qqq_v1,7,calendar_anomaly,calendar/event,daily,SPY/QQQ only,calendar/event,medium,low,daily_demo_review_possible_after_validation,daily_research_candidate
cash_pause_overlay_meta_v1,8,shared_risk_overlay,risk-overlay,meta-overlay,applies to all strategies,risk_overlay,risk_reducing_only,medium,not_alpha_overlay_only,shared_risk_overlay
orb_spy_qqq_30m_research_v1,9,opening_range_breakout,intraday momentum,intraday,SPY/QQQ only,intraday_momentum,high_research_only,high,research_only_until_execution_ready,intraday_research_only
gap_down_fade_spy_qqq_research_v1,10,gap_fade,intraday reversion,intraday,SPY/QQQ only,intraday_reversion,high_research_only,high,research_only_until_execution_ready,intraday_research_only
vwap_deviation_reversion_research_v1,11,vwap_intraday_reversion,intraday reversion,intraday,broad ETFs,intraday_reversion,high_research_only,high,research_only_until_execution_ready,intraday_research_only
post_earnings_drift_large_cap_later_v1,12,post_earnings_drift,calendar/event,daily,large-cap stocks later,calendar/event,high_later_only,high,later_only_data_quality_blocked,later_data_quality_required
