id,display_name,lane,instrument_family,strategy_family,version,parent_id,credibility_tier,status,role,rules_frozen,paper_forward_active,implementation_status,data_source,evidence_source,latest_evidence_path,latest_known_result_summary,allowed_next_action,forbidden_next_actions,promotion_requirements,demotion_or_kill_criteria,notes
SPY_200d_trend_model_sim_1_25x_v1,SPY 200-Day Trend Model Simulated 1.25x,compact_challenge,ETF simulated leverage,trend leverage diagnostic,v1,SPY_200d_trend_model,tier1_exploratory,too_risky,simulated_leverage_diagnostic,True,False,implemented_exploratory,existing_adjusted_etf_cache,compact_challenge_diagnostic,evidence/challenge_runs/latest/,"Target odds improved, but exact diagnostic showed worst 90-day drawdown beyond the -$600 risk budget.",audit_harden,observe_as_paper_forward;promote_to_real_money;add_broker_integration;treat_as_validated;tune_leverage_multiplier,Not eligible without separate Tier 2 leverage feasibility review and fixed risk model.,"Stop risk, drawdown, or stress degradation is materially worse than unlevered SPY_200d.","Diagnostic only; no real margin, liquidation, or leveraged product model."
SPY_200d_trend_model_sim_1_5x_v1,SPY 200-Day Trend Model Simulated 1.5x,compact_challenge,ETF simulated leverage,trend leverage diagnostic,v1,SPY_200d_trend_model,tier1_exploratory,too_risky,simulated_leverage_diagnostic,True,False,implemented_exploratory,existing_adjusted_etf_cache,compact_challenge_diagnostic,evidence/challenge_runs/latest/,Approximate 1.5x return-multiplier diagnostic; expected higher stop-risk burden.,audit_harden,observe_as_paper_forward;promote_to_real_money;add_broker_integration;treat_as_validated;tune_leverage_multiplier,Not eligible without separate Tier 2 leverage feasibility review and fixed risk model.,"Stop risk, drawdown, or stress degradation remains materially worse than unlevered SPY_200d.",Diagnostic only; not a paper-forward or real-money candidate.
SPY_buy_hold_sim_1_25x_v1,SPY Buy And Hold Simulated 1.25x,compact_challenge,ETF simulated leverage,buy_hold leverage diagnostic,v1,SPY_buy_hold,tier1_exploratory,too_risky,simulated_leverage_diagnostic,True,False,implemented_exploratory,existing_adjusted_etf_cache,compact_challenge_diagnostic,evidence/challenge_runs/latest/,Approximate buy-hold leverage diagnostic; benchmark stress scenario only.,audit_harden,observe_as_paper_forward;promote_to_real_money;add_broker_integration;treat_as_validated;tune_leverage_multiplier,Not eligible without separate Tier 2 leverage feasibility review and fixed risk model.,Drawdown or stop risk remains materially worse than unlevered benchmark.,Diagnostic only; buy-hold leverage must not be treated as a practical candidate.
SPY_buy_hold_sim_1_5x_v1,SPY Buy And Hold Simulated 1.5x,compact_challenge,ETF simulated leverage,buy_hold leverage diagnostic,v1,SPY_buy_hold,tier1_exploratory,too_risky,simulated_leverage_diagnostic,True,False,implemented_exploratory,existing_adjusted_etf_cache,compact_challenge_diagnostic,evidence/challenge_runs/latest/,Approximate buy-hold leverage diagnostic; high-risk benchmark stress scenario only.,audit_harden,observe_as_paper_forward;promote_to_real_money;add_broker_integration;treat_as_validated;tune_leverage_multiplier,Not eligible without separate Tier 2 leverage feasibility review and fixed risk model.,Drawdown or stop risk remains materially worse than unlevered benchmark.,"Diagnostic only; no real margin, liquidation, or leveraged ETF path-dependency model."
A_ETF_sector_momentum,A ETF Sector Momentum,etf_research,ETF,cross_sectional_momentum,v1,current_no_cash_proxy_alpha_AB,tier3_candidate_validation,watchlist,archived_comparator,True,False,implemented,existing_adjusted_etf_cache,etf_research_evidence,evidence/latest/,Historically useful component; not the current leading paper-forward row.,audit_harden,change_rules_in_place;tune_parameters;promote_to_real_money,New version id plus candidate evidence if changed.,Continued weak paper-forward comparison.,Can be studied as comparator; current paper-forward version remains frozen.
B_ETF_trend_following,B ETF Trend Following,etf_research,ETF,trend_following,v1,current_no_cash_proxy_alpha_AB,tier3_candidate_validation,watchlist,archived_comparator,True,False,implemented,existing_adjusted_etf_cache,etf_research_evidence,evidence/latest/,Useful A/B component but not leading against SPY_200d in exact challenge audit.,audit_harden,change_rules_in_place;tune_parameters;promote_to_real_money,New version id plus candidate evidence if changed.,Continued weak comparison to benchmark candidates.,Comparator only unless a new version is proposed.
crypto_time_series_momentum,Crypto Time-Series Momentum,crypto_exploratory,crypto_spot,time_series_momentum,v1,,tier1_exploratory,exploratory_only,exploratory_screen,True,False,implemented_exploratory,yfinance_crypto_spot_cache,crypto_tier1_exploratory,evidence/exploratory/crypto_spot_momentum/latest/,Tier 1 only; not validated and not paper-forward ready.,audit_harden,paper_forward;leverage;perps;futures;margin;shorting;promote_to_real_money,Tier 2 credible prototype review; better data/execution model.,Data quality or stress-cost failure.,Exploratory only; no real-money conclusion.
crypto_dual_momentum_cash_filter,Crypto Dual Momentum Cash Filter,crypto_exploratory,crypto_spot,dual_momentum,v1,,tier1_exploratory,exploratory_only,exploratory_screen,True,False,implemented_exploratory,yfinance_crypto_spot_cache,crypto_tier1_exploratory,evidence/exploratory/crypto_spot_momentum/latest/,Tier 1 only; not validated and not paper-forward ready.,audit_harden,paper_forward;leverage;perps;futures;margin;shorting;promote_to_real_money,Tier 2 credible prototype review; better data/execution model.,Data quality or stress-cost failure.,Exploratory only.
crypto_cross_sectional_momentum,Crypto Cross-Sectional Momentum,crypto_exploratory,crypto_spot,cross_sectional_momentum,v1,,tier1_exploratory,exploratory_only,exploratory_screen,True,False,implemented_exploratory,yfinance_crypto_spot_cache,crypto_tier1_exploratory,evidence/exploratory/crypto_spot_momentum/latest/,Tier 1 only; not validated and not paper-forward ready.,audit_harden,paper_forward;leverage;perps;futures;margin;shorting;promote_to_real_money,Tier 2 credible prototype review; better data/execution model.,Data quality or stress-cost failure.,Exploratory only.
crypto_buy_hold_equal_weight,Crypto Buy-Hold Equal Weight,crypto_exploratory,crypto_spot,buy_and_hold,v1,,tier1_exploratory,exploratory_only,exploratory_benchmark,True,False,implemented_exploratory,yfinance_crypto_spot_cache,crypto_tier1_exploratory,evidence/exploratory/crypto_spot_momentum/latest/,Tier 1 benchmark only; high drawdown risk.,audit_harden,paper_forward;leverage;perps;futures;margin;shorting;promote_to_real_money,Tier 2 credible prototype review; better data/execution model.,Data quality or stress-cost failure.,Exploratory benchmark only.
individual_stock_momentum_gate1a,Individual Stock Momentum Gate 1A,stock_memo,equities,individual_stock_momentum,gate1a,,blocked,deferred,feasibility_memo,True,False,blocked_by_gate,vendor_review_only,gate0_gate1_gate1a_memos,evidence/latest/research_memos/gate1/individual_stock_momentum/vendor_verification/,Gate 1A decision is continue_defer; no serious prototype or toy demo approved.,continue_vendor_review,implement_loader;implement_strategy;run_backtest;approve_toy_demo;promote_to_real_money,"Verified survivorship-free data, delistings, corporate actions, licensing, and cost/runtime feasibility.",Credible data remains unavailable or too costly.,Implementation remains blocked.
