experiment_id,display_name,experiment_type,family_group,strategy_family,evidence_tier,run_allowed,implementation_status,independent_account,starting_equity,underlying_components,rule_source,expected_profit_mechanism,main_risk,allowed_next_action,forbidden_next_actions,notes,run_id,run_status,status_notes,canonical_rule,duplicate_of,canonical_rule_hash,blocked_reason
SPY_200d_trend_model,SPY 200-Day Trend Model,exact_family,broad_etf_trend,absolute_trend,tier3_candidate_validation,True,implemented,True,3000,"['SPY', 'BIL']",existing SPY_200d_trend_model v1,equity trend participation with defensive cash proxy during long downtrends,equity drawdown and whipsaw,run_profit_exploration,"['change_rules', 'tune_parameters', 'promote_to_real_money', 'add_broker_integration', 'modify_paper_forward_rules']",Frozen paper-forward candidate is only compared here; its rules are not modified.,20260602_181024,completed,completed from cached adjusted ETF prices,,,,
SPY_buy_hold,SPY Buy And Hold,benchmark_family,broad_etf_buy_hold,buy_and_hold,benchmark,True,benchmark_only,True,3000,['SPY'],benchmark adjusted close buy-and-hold,uncompensated broad equity beta,deep equity drawdown,run_profit_exploration,"['promote_to_real_money', 'add_broker_integration', 'modify_paper_forward_rules']",Aggressive benchmark only.,20260602_181024,completed,completed from cached adjusted ETF prices,,,,
GLD_buy_hold,GLD Buy And Hold,benchmark_family,gold_commodity_etf,buy_and_hold,benchmark,True,benchmark_only,True,3000,['GLD'],benchmark adjusted close buy-and-hold,gold trend and crisis/real-rate sensitivity,commodity drawdown and regime shifts,run_profit_exploration,"['promote_to_real_money', 'add_broker_integration', 'modify_paper_forward_rules']","Target-rich benchmark in family challenge, but drawdown must be penalized.",20260602_181024,completed,completed from cached adjusted ETF prices,,,,
IEF_buy_hold,IEF Buy And Hold,benchmark_family,bond_treasury_etf,buy_and_hold,benchmark,True,benchmark_only,True,3000,['IEF'],benchmark adjusted close buy-and-hold,intermediate Treasury total return,rate drawdown and low upside,run_profit_exploration,"['promote_to_real_money', 'add_broker_integration', 'modify_paper_forward_rules']",Defensive benchmark.,20260602_181024,completed,completed from cached adjusted ETF prices,,,,
BIL_cash_proxy,BIL Cash Proxy,benchmark_family,cash_treasury_proxy,cash_proxy,benchmark,True,benchmark_only,True,3000,['BIL'],benchmark adjusted close buy-and-hold,cash-like Treasury bill return,too slow for challenge profit hurdles,run_profit_exploration,"['promote_to_real_money', 'add_broker_integration', 'modify_paper_forward_rules']",Defensive/cash benchmark only.,20260602_181024,completed,completed from cached adjusted ETF prices,,,,
A_ETF_sector_momentum,A ETF Sector Momentum,exact_family,etf_sector_momentum,sector_momentum,tier2_credible_prototype,true_if_exact_stream_available,implemented_if_exact_stream_available,True,3000,['existing ETF strategy family A'],existing A_ETF_sector_momentum rules,sector momentum concentration,exact fresh-window stream not exposed in compact mode,audit_harden,"['approximate_from_summary_metrics', 'change_rules', 'tune_parameters', 'promote_to_real_money']",Run only if exact fresh-window stream is exposed; otherwise incomplete.,20260602_181024,incomplete_evidence,exact fresh-window stream is not exposed in compact profit exploration; no summary-metric approximation used,,,,
asset_class_tsmom_equal_weight_v1,Asset Class TSMOM Equal Weight,strategy_variant,multi_asset_etf,asset_class_time_series_momentum,tier2_credible_prototype,True,implemented_exploratory,True,3000,"['SPY', 'GLD', 'IEF', 'BIL']",predeclared 126-day return and 200-day SMA filter across SPY/GLD/IEF with BIL fallback,participate in all eligible positive asset-class trends while avoiding filtered risk assets,"diluted upside, regime whipsaw, and defensive drag",run_profit_exploration,"['tune_lookback', 'tune_sma_length', 'tune_parameters', 'grid_search', 'promote_to_real_money', 'add_broker_integration', 'modify_paper_forward_rules']","Independent $3,000 research-sample profit experiment; not paper-forward and not a real-money recommendation.",20260602_181024,completed,completed from cached adjusted ETF prices,"{'strategy_family': 'asset_class_time_series_momentum', 'asset_universe': ['SPY', 'GLD', 'IEF', 'BIL'], 'rebalance_frequency': 'monthly', 'ranking_lookback_trading_days': 126, 'trend_filter': 'price_gt_200_day_sma', 'cash_fallback_rule': 'all_to_BIL_if_no_risky_asset_eligible', 'number_of_selected_assets': 'all_eligible', 'weighting_rule': 'equal_weight_all_eligible', 'execution_timing_rule': 'next_trading_day_after_rebalance_signal', 'max_gross_exposure': 1.0, 'leverage_setting': 'none'}",,,
asset_class_tsmom_top1_v1,Asset Class TSMOM Top 1,strategy_variant,multi_asset_etf,asset_class_time_series_momentum,tier2_credible_prototype,True,implemented_exploratory,True,3000,"['SPY', 'GLD', 'IEF', 'BIL']",predeclared 126-day relative momentum top-1 with 200-day SMA absolute filter,concentrate in the strongest eligible ETF asset-class trend,whipsaw and single-asset concentration,run_profit_exploration,"['tune_lookback', 'tune_sma_length', 'tune_parameters', 'grid_search', 'promote_to_real_money', 'add_broker_integration', 'modify_paper_forward_rules']","Independent $3,000 research-sample profit experiment; not paper-forward and not a real-money recommendation.",20260602_181024,completed,completed from cached adjusted ETF prices,"{'strategy_family': 'asset_class_time_series_momentum', 'asset_universe': ['SPY', 'GLD', 'IEF', 'BIL'], 'rebalance_frequency': 'monthly', 'ranking_lookback_trading_days': 126, 'trend_filter': 'price_gt_200_day_sma', 'cash_fallback_rule': 'all_to_BIL_if_no_risky_asset_eligible', 'number_of_selected_assets': 1, 'weighting_rule': 'equal_weight_selected_assets', 'execution_timing_rule': 'next_trading_day_after_rebalance_signal', 'max_gross_exposure': 1.0, 'leverage_setting': 'none'}",,,
asset_class_tsmom_top2_v1,Asset Class TSMOM Top 2,strategy_variant,multi_asset_etf,asset_class_time_series_momentum,tier2_credible_prototype,True,implemented_exploratory,True,3000,"['SPY', 'GLD', 'IEF', 'BIL']",predeclared 126-day relative momentum top-2 with 200-day SMA absolute filter,concentrate in up to two strongest eligible ETF asset-class trends,"whipsaw, concentration, and possible defensive drag",run_profit_exploration,"['tune_lookback', 'tune_sma_length', 'tune_number_of_assets', 'tune_parameters', 'grid_search', 'promote_to_real_money', 'add_broker_integration', 'modify_paper_forward_rules']","Independent $3,000 research-sample profit experiment; not paper-forward and not a real-money recommendation.",20260602_181024,completed,completed from cached adjusted ETF prices,"{'strategy_family': 'asset_class_time_series_momentum', 'asset_universe': ['SPY', 'GLD', 'IEF', 'BIL'], 'rebalance_frequency': 'monthly', 'ranking_lookback_trading_days': 126, 'trend_filter': 'price_gt_200_day_sma', 'cash_fallback_rule': 'all_to_BIL_if_no_risky_asset_eligible', 'number_of_selected_assets': 2, 'weighting_rule': 'equal_weight_selected_assets', 'execution_timing_rule': 'next_trading_day_after_rebalance_signal', 'max_gross_exposure': 1.0, 'leverage_setting': 'none'}",,,
dual_momentum_SPY_GLD_IEF_v1,Dual Momentum SPY GLD IEF,strategy_variant,multi_asset_etf,dual_momentum,tier2_credible_prototype,True,duplicate_skipped,True,3000,"['SPY', 'GLD', 'IEF', 'BIL']",duplicate canonical rule of asset_class_tsmom_top1_v1,same as asset_class_tsmom_top1_v1; duplicate row retained for audit visibility,duplicate evidence inflation if counted independently,audit_harden,"['count_as_independent_evidence', 'tune_lookback', 'tune_sma_length', 'tune_parameters', 'grid_search', 'promote_to_real_money', 'add_broker_integration', 'modify_paper_forward_rules']",Duplicate-skipped by canonical rule hash if asset_class_tsmom_top1_v1 is present.,20260602_181024,duplicate_skipped,duplicate canonical rule hash; duplicate_of=asset_class_tsmom_top1_v1,"{'strategy_family': 'asset_class_time_series_momentum', 'asset_universe': ['SPY', 'GLD', 'IEF', 'BIL'], 'rebalance_frequency': 'monthly', 'ranking_lookback_trading_days': 126, 'trend_filter': 'price_gt_200_day_sma', 'cash_fallback_rule': 'all_to_BIL_if_no_risky_asset_eligible', 'number_of_selected_assets': 1, 'weighting_rule': 'equal_weight_selected_assets', 'execution_timing_rule': 'next_trading_day_after_rebalance_signal', 'max_gross_exposure': 1.0, 'leverage_setting': 'none'}",asset_class_tsmom_top1_v1,235c97bf8a90cbc0064fa0406435a98d4cbad891d2f425030572d4d77e2118f0,
