requirement,why_required,crsp,norgate,sharadar,polygon,tiingo,eodhd,ibkr,alpaca,yfinance,blocks_gate2_if_missing,notes
survivorship_free_universe,Prevents testing only stocks that survived to today,yes,yes,not_verified,not_verified,not_verified,not_verified,no,no,no,yes,"Gate 2 serious prototype requires verified survivorship-free universe."
active_and_delisted_stocks,Includes failed and acquired names that affect returns,yes,yes,not_verified,not_verified,not_verified,not_verified,no,not_verified,no,yes,"Norgate says active and delisted securities; CRSP describes inactive companies."
delisting_returns_or_terminal_treatment,Prevents disappearing bankruptcies and delisted losses,yes,not_verified,not_verified,not_verified,not_verified,not_verified,no,no,no,yes,"If unavailable, serious Gate 2 remains blocked."
point_in_time_membership,Avoids index membership lookahead and current-universe bias,partial,partial,not_verified,not_verified,not_verified,not_verified,no,no,no,yes,"Historical index constituents may be enough only for a clearly defined universe."
symbol_mapping_permanent_ids,Handles ticker changes and mergers,partial,partial,not_verified,partial,not_verified,not_verified,not_verified,not_verified,no,yes,"Permanent identifiers or robust symbol maps are required."
corporate_actions,Supports correct split dividend and merger handling,yes,partial,not_verified,partial,partial,partial,partial,partial,partial,yes,"Field-level verification required before implementation."
split_adjusted_ohlcv,Prevents false price jumps from splits,yes,yes,not_verified,partial,partial,partial,partial,partial,partial,yes,"Adjusted OHLCV convention must be specified."
dividend_adjusted_returns,Needed for total-return momentum comparisons,yes,yes,not_verified,partial,partial,partial,partial,partial,partial,yes,"Dividend-adjusted returns or explicit dividend handling required."
mergers_acquisitions_handling,Prevents missing terminal cash/stock consideration,partial,not_verified,not_verified,not_verified,not_verified,not_verified,no,no,no,yes,"Needs vendor schema review."
bankruptcies_terminal_values,Prevents failed stocks from vanishing,partial,not_verified,not_verified,not_verified,not_verified,not_verified,no,no,no,yes,"Needs delisting-return or terminal-price treatment."
earnings_dates_point_in_time,Needed if entries avoid earnings or gap risk is modeled,separate_source_likely_needed,separate_source_likely_needed,not_verified,not_verified,not_verified,partial,no,not_verified,no,no,"Blocks earnings-aware prototype, but not necessarily a prototype that forbids earnings logic."
volume_and_dollar_volume,Needed for liquidity filters and execution assumptions,yes,yes,not_verified,yes,yes,yes,partial,partial,yes,yes,"Must be adjusted/interpreted consistently."
sector_or_industry_classification,Needed for sector caps and contribution analysis,partial,partial,not_verified,not_verified,not_verified,not_verified,no,not_verified,no,no,"Can be separate vendor if point-in-time sector data is available."
benchmark_universe_possible,Needed to compare stock momentum against investable alternatives,yes,yes,not_verified,not_verified,not_verified,not_verified,no,no,no,yes,"Equal-weight broad universe benchmark needs the same universe data."
historical_price_start_sufficient,Needs enough history for momentum windows and regimes,yes,yes,not_verified,not_verified,not_verified,not_verified,not_verified,not_verified,not_verified,yes,"Exact start dates must be verified by vendor."
local_export_or_cache_allowed,Needed for reproducible local runs,not_verified,not_verified,not_verified,not_verified,not_verified,not_verified,no_or_limited,not_verified,limited,yes,"License and caching terms must be verified before any data ingestion."
license_allows_research_use,Prevents building on data that cannot be cached or audited,not_verified,not_verified,not_verified,not_verified,not_verified,not_verified,not_verified,not_verified,partial,yes,"No proprietary raw data should enter git or public evidence packets."
python_or_csv_access,Needed for reproducible local backtests,not_verified,yes,not_verified,yes,yes,yes,yes,yes,yes,no,"Access method alone is not sufficient without serious data coverage."
cost_access_acceptable,Determines whether project scope can support the data,not_verified,not_verified,not_verified,not_verified,not_verified,not_verified,account_dependent,not_verified,yes,yes,"Cost/access review is the next blocker."
