experiment_id,display_name,experiment_type,family_group,strategy_family,evidence_tier,run_allowed,implementation_status,independent_account,starting_equity,underlying_components,rule_source,expected_profit_mechanism,main_risk,allowed_next_action,forbidden_next_actions,notes,run_validation_scope,selected_horizons,omitted_horizons,full_horizon_validation_completed,candidate_exhaustive_completed,reduced_validation,reduced_validation_reason,run_id,run_status,status_notes,selected_horizons_completed,canonical_rule_hash,duplicate_of,duplicate_status,qqq_selection_frequency,spy_selection_frequency,gld_selection_frequency,ief_selection_frequency,bil_allocation_frequency,max_single_asset_allocation,qqq_allocation_share,equity_asset_allocation_share,defensive_asset_allocation_share,concentration_warning,equity_beta_duplicate_warning,canonical_rule,version,lane,independent_starting_equity,shared_capital,portfolio_mix,paper_forward_active,paper_forward_allowed_by_risk_framework,real_money_recommendation,uses_leverage,uses_shorting,uses_margin,requires_network,required_symbols,primary_benchmark,secondary_benchmarks,blocked_reason
SPY_200d_trend_model,SPY 200-Day Trend Model,exact_family,broad_etf_trend,absolute_trend,tier3_candidate_validation,True,implemented,True,3000,"['SPY', 'BIL']",existing SPY_200d_trend_model v1,equity trend participation with defensive cash proxy during long downtrends,equity drawdown and whipsaw,run_profit_exploration,"['change_rules', 'tune_parameters', 'promote_to_real_money', 'add_broker_integration', 'modify_paper_forward_rules']",Frozen paper-forward candidate is only compared here; its rules are not modified.,all_horizons,"30,60,90,180",,False,False,False,,20260604_171922,completed,completed from cached adjusted ETF prices,True,,,canonical_unique,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,
SPY_buy_hold,SPY Buy And Hold,benchmark_family,broad_etf_buy_hold,buy_and_hold,benchmark,True,benchmark_only,True,3000,['SPY'],benchmark adjusted close buy-and-hold,uncompensated broad equity beta,deep equity drawdown,run_profit_exploration,"['promote_to_real_money', 'add_broker_integration', 'modify_paper_forward_rules']",Aggressive benchmark only.,all_horizons,"30,60,90,180",,False,False,False,,20260604_171922,completed,completed from cached adjusted ETF prices,True,,,canonical_unique,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,
GLD_buy_hold,GLD Buy And Hold,benchmark_family,gold_commodity_etf,buy_and_hold,benchmark,True,benchmark_only,True,3000,['GLD'],benchmark adjusted close buy-and-hold,gold trend and crisis/real-rate sensitivity,commodity drawdown and regime shifts,run_profit_exploration,"['promote_to_real_money', 'add_broker_integration', 'modify_paper_forward_rules']","Target-rich benchmark in family challenge, but drawdown must be penalized.",all_horizons,"30,60,90,180",,False,False,False,,20260604_171922,completed,completed from cached adjusted ETF prices,True,,,canonical_unique,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,
IEF_buy_hold,IEF Buy And Hold,benchmark_family,bond_treasury_etf,buy_and_hold,benchmark,True,benchmark_only,True,3000,['IEF'],benchmark adjusted close buy-and-hold,intermediate Treasury total return,rate drawdown and low upside,run_profit_exploration,"['promote_to_real_money', 'add_broker_integration', 'modify_paper_forward_rules']",Defensive benchmark.,all_horizons,"30,60,90,180",,False,False,False,,20260604_171922,completed,completed from cached adjusted ETF prices,True,,,canonical_unique,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,
BIL_cash_proxy,BIL Cash Proxy,benchmark_family,cash_treasury_proxy,cash_proxy,benchmark,True,benchmark_only,True,3000,['BIL'],benchmark adjusted close buy-and-hold,cash-like Treasury bill return,too slow for challenge profit hurdles,run_profit_exploration,"['promote_to_real_money', 'add_broker_integration', 'modify_paper_forward_rules']",Defensive/cash benchmark only.,all_horizons,"30,60,90,180",,False,False,False,,20260604_171922,completed,completed from cached adjusted ETF prices,True,,,canonical_unique,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,
A_ETF_sector_momentum,A ETF Sector Momentum,exact_family,etf_sector_momentum,sector_momentum,tier2_credible_prototype,true_if_exact_stream_available,implemented_if_exact_stream_available,True,3000,['existing ETF strategy family A'],existing A_ETF_sector_momentum rules,sector momentum concentration,exact fresh-window stream not exposed in compact mode,audit_harden,"['approximate_from_summary_metrics', 'change_rules', 'tune_parameters', 'promote_to_real_money']",Run only if exact fresh-window stream is exposed; otherwise incomplete.,all_horizons,"30,60,90,180",,False,False,False,,20260604_171922,incomplete_evidence,exact fresh-window stream is not exposed in compact profit exploration; no summary-metric approximation used,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
current_no_cash_proxy_alpha_AB,Current No-Cash-Proxy Alpha A/B,exact_family,etf_ab_strategy,sector_momentum_plus_trend_following,tier3_candidate_validation_if_exhaustive,true_if_exact_stream_available,implemented_if_exact_stream_available,True,3000,['existing A/B ETF strategy'],existing current_no_cash_proxy_alpha_AB v1,custom ETF rotation/control logic,exact fresh-window family stream not exposed in compact mode,audit_harden,"['approximate_from_summary_metrics', 'change_rules', 'tune_parameters', 'promote_to_real_money']",Frozen paper-forward control is not modified.,all_horizons,"30,60,90,180",,False,False,False,,20260604_171922,incomplete_evidence,exact fresh-window stream is not exposed in compact profit exploration; no summary-metric approximation used,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLD_200d_trend_model_v1,GLD 200-Day Trend Model,strategy_variant,gold_commodity_etf,absolute_trend,tier2_credible_prototype,True,implemented_exploratory,True,3000,"['GLD', 'BIL']",predeclared profit exploration fixed rule,gold trend participation with BIL defensive fallback,whipsaw and reduced upside versus GLD buy-hold,run_profit_exploration,"['tune_sma_length', 'tune_parameters', 'promote_to_real_money', 'add_broker_integration']","New isolated profit experiment, not paper-forward.",all_horizons,"30,60,90,180",,False,False,False,,20260604_171922,completed,completed from cached adjusted ETF prices,True,,,canonical_unique,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,
asset_class_tsmom_equal_weight_v1,Asset Class TSMOM Equal Weight,strategy_variant,multi_asset_etf,asset_class_time_series_momentum,tier2_credible_prototype,True,implemented_exploratory,True,3000,"['SPY', 'GLD', 'IEF', 'BIL']",predeclared 126-day return and 200-day SMA filter across SPY/GLD/IEF with BIL fallback,participate in all eligible positive asset-class trends while avoiding filtered risk assets,"diluted upside, regime whipsaw, and defensive drag",run_profit_exploration,"['tune_lookback', 'tune_sma_length', 'tune_parameters', 'grid_search', 'promote_to_real_money', 'add_broker_integration', 'modify_paper_forward_rules']","Independent $3,000 research-sample profit experiment; not paper-forward and not a real-money recommendation.",all_horizons,"30,60,90,180",,False,False,False,,20260604_171922,completed,completed from cached adjusted ETF prices,True,53e5237d0853d047a69f1dee02befbba0092e80aff46cadff10fef41b12b23ef,,canonical_unique,,,,,,,,,,False,False,"{'strategy_family': 'asset_class_time_series_momentum', 'asset_universe': ['SPY', 'GLD', 'IEF', 'BIL'], 'rebalance_frequency': 'monthly', 'ranking_lookback_trading_days': 126, 'trend_filter': 'price_gt_200_day_sma', 'cash_fallback_rule': 'all_to_BIL_if_no_risky_asset_eligible', 'number_of_selected_assets': 'all_eligible', 'weighting_rule': 'equal_weight_all_eligible', 'execution_timing_rule': 'next_trading_day_after_rebalance_signal', 'max_gross_exposure': 1.0, 'leverage_setting': 'none'}",,,,,,,,,,,,,,,,
asset_class_tsmom_top1_v1,Asset Class TSMOM Top 1,strategy_variant,multi_asset_etf,asset_class_time_series_momentum,tier2_credible_prototype,True,implemented_exploratory,True,3000,"['SPY', 'GLD', 'IEF', 'BIL']",predeclared 126-day relative momentum top-1 with 200-day SMA absolute filter,concentrate in the strongest eligible ETF asset-class trend,whipsaw and single-asset concentration,run_profit_exploration,"['tune_lookback', 'tune_sma_length', 'tune_parameters', 'grid_search', 'promote_to_real_money', 'add_broker_integration', 'modify_paper_forward_rules']","Independent $3,000 research-sample profit experiment; not paper-forward and not a real-money recommendation.",all_horizons,"30,60,90,180",,False,False,False,,20260604_171922,completed,completed from cached adjusted ETF prices,True,235c97bf8a90cbc0064fa0406435a98d4cbad891d2f425030572d4d77e2118f0,,canonical_unique,,,,,,,,,,False,False,"{'strategy_family': 'asset_class_time_series_momentum', 'asset_universe': ['SPY', 'GLD', 'IEF', 'BIL'], 'rebalance_frequency': 'monthly', 'ranking_lookback_trading_days': 126, 'trend_filter': 'price_gt_200_day_sma', 'cash_fallback_rule': 'all_to_BIL_if_no_risky_asset_eligible', 'number_of_selected_assets': 1, 'weighting_rule': 'equal_weight_selected_assets', 'execution_timing_rule': 'next_trading_day_after_rebalance_signal', 'max_gross_exposure': 1.0, 'leverage_setting': 'none'}",,,,,,,,,,,,,,,,
