strategy_id,family,instrument_lane,evidence_tier,current_status,promotion_decision,failure_mode,closest_to_promotion_score,readiness_label,gap_recommended_next_action,failure_mode_reason,exact_evidence_needed_to_change_decision,drawdown_evidence,stop_hit_evidence
SPY_200d_trend_model_sim_1_25x_v1,trend leverage diagnostic,ETF simulated leverage,tier1_exploratory,too_risky,mark_too_risky,too_risky_leverage_or_unapproved_mechanics,0,not_close,run_drawdown_overlap_test,Risk or policy text references unapproved mechanics or leverage-like exposure.,risk-control evidence with drawdown inside budget,,
SPY_200d_trend_model_sim_1_5x_v1,trend leverage diagnostic,ETF simulated leverage,tier1_exploratory,too_risky,mark_too_risky,too_risky_leverage_or_unapproved_mechanics,0,not_close,run_drawdown_overlap_test,Risk or policy text references unapproved mechanics or leverage-like exposure.,risk-control evidence with drawdown inside budget,,
SPY_buy_hold_sim_1_25x_v1,buy_hold leverage diagnostic,ETF simulated leverage,tier1_exploratory,too_risky,mark_too_risky,too_risky_leverage_or_unapproved_mechanics,0,not_close,run_drawdown_overlap_test,Risk or policy text references unapproved mechanics or leverage-like exposure.,risk-control evidence with drawdown inside budget,,
SPY_buy_hold_sim_1_5x_v1,buy_hold leverage diagnostic,ETF simulated leverage,tier1_exploratory,too_risky,mark_too_risky,too_risky_leverage_or_unapproved_mechanics,0,not_close,run_drawdown_overlap_test,Risk or policy text references unapproved mechanics or leverage-like exposure.,risk-control evidence with drawdown inside budget,,
SPY_200d_exposure_frontier_1_05x_v1,SPY_200d exposure frontier diagnostic,ETF simulated exposure,tier1_exploratory,too_risky,mark_too_risky,too_risky_leverage_or_unapproved_mechanics,0,not_close,run_drawdown_overlap_test,Risk or policy text references unapproved mechanics or leverage-like exposure.,risk-control evidence with drawdown inside budget,,
SPY_200d_exposure_frontier_1_10x_v1,SPY_200d exposure frontier diagnostic,ETF simulated exposure,tier1_exploratory,too_risky,mark_too_risky,too_risky_leverage_or_unapproved_mechanics,0,not_close,run_drawdown_overlap_test,Risk or policy text references unapproved mechanics or leverage-like exposure.,risk-control evidence with drawdown inside budget,,
SPY_200d_exposure_frontier_1_15x_v1,SPY_200d exposure frontier diagnostic,ETF simulated exposure,tier1_exploratory,too_risky,mark_too_risky,too_risky_leverage_or_unapproved_mechanics,0,not_close,run_drawdown_overlap_test,Risk or policy text references unapproved mechanics or leverage-like exposure.,risk-control evidence with drawdown inside budget,,
SPY_200d_exposure_frontier_1_20x_v1,SPY_200d exposure frontier diagnostic,ETF simulated exposure,tier1_exploratory,too_risky,mark_too_risky,too_risky_leverage_or_unapproved_mechanics,0,not_close,run_drawdown_overlap_test,Risk or policy text references unapproved mechanics or leverage-like exposure.,risk-control evidence with drawdown inside budget,,
SPY_200d_exposure_frontier_1_25x_v1,SPY_200d exposure frontier diagnostic,ETF simulated exposure,tier1_exploratory,too_risky,mark_too_risky,too_risky_leverage_or_unapproved_mechanics,0,not_close,run_drawdown_overlap_test,Risk or policy text references unapproved mechanics or leverage-like exposure.,risk-control evidence with drawdown inside budget,,
crypto_simulated_leverage_1_5x,simulated_leverage_diagnostic,crypto_spot,tier1_exploratory,too_risky,mark_too_risky,too_risky_leverage_or_unapproved_mechanics,0,not_close,run_drawdown_overlap_test,Risk or policy text references unapproved mechanics or leverage-like exposure.,risk-control evidence with drawdown inside budget,,
crypto_simulated_leverage_2_0x,simulated_leverage_diagnostic,crypto_spot,tier1_exploratory,too_risky,mark_too_risky,too_risky_leverage_or_unapproved_mechanics,0,not_close,run_drawdown_overlap_test,Risk or policy text references unapproved mechanics or leverage-like exposure.,risk-control evidence with drawdown inside budget,,
profit_SPY_GLD_dual_momentum_v1,dual_momentum,multi_asset_etf,tier2_credible_prototype,high_upside_high_risk_watchlist,mark_too_risky,too_risky_leverage_or_unapproved_mechanics,0,not_close,run_drawdown_overlap_test,Risk or policy text references unapproved mechanics or leverage-like exposure.,risk-control evidence with drawdown inside budget,,
qqq_spy_gld_ief_dual_momentum_v1,dual_momentum,ETF,tier2_credible_prototype,too_risky,mark_too_risky,too_risky_leverage_or_unapproved_mechanics,0,not_close,run_drawdown_overlap_test,Risk or policy text references unapproved mechanics or leverage-like exposure.,risk-control evidence with drawdown inside budget,,
commodity_basket_tsmom_top2_v1,commodity_wrapper_time_series_momentum,commodity_ETF,tier1_or_tier2_exploratory,research_sample_candidate_risk_budget_breach,mark_too_risky,too_risky_leverage_or_unapproved_mechanics,30,low_watchlist,run_drawdown_overlap_test,Risk or policy text references unapproved mechanics or leverage-like exposure.,risk-control evidence with drawdown inside budget,-680.6702938411077,0.0256410256410256
commodity_basket_tsmom_top2_200d_filter_v1,commodity_wrapper_time_series_momentum,commodity_ETF,tier1_or_tier2_exploratory,filter_ineffective_or_bug_review,mark_too_risky,too_risky_leverage_or_unapproved_mechanics,30,low_watchlist,run_drawdown_overlap_test,Risk or policy text references unapproved mechanics or leverage-like exposure.,risk-control evidence with drawdown inside budget,-680.6702938411077,0.0256410256410256
crypto_spot_tsmom_top1_cash_filter_v1,crypto_spot_trend,crypto_spot,tier2_exploratory,watchlist,mark_too_risky,too_risky_leverage_or_unapproved_mechanics,30,low_watchlist,run_drawdown_overlap_test,Risk or policy text references unapproved mechanics or leverage-like exposure.,risk-control evidence with drawdown inside budget,-1265.1518080332617,0.0769230769230769
crypto_spot_equal_weight_200d_filter_v1,crypto_spot_trend,crypto_spot,tier2_exploratory,high_upside_high_risk_watchlist,mark_too_risky,too_risky_leverage_or_unapproved_mechanics,30,low_watchlist,run_drawdown_overlap_test,Risk or policy text references unapproved mechanics or leverage-like exposure.,risk-control evidence with drawdown inside budget,-1041.1890628177516,0.0512820512820512
