experiment_id,display_name,experiment_type,family_group,strategy_family,evidence_tier,run_allowed,implementation_status,independent_account,starting_equity,underlying_components,rule_source,expected_profit_mechanism,main_risk,allowed_next_action,forbidden_next_actions,notes,run_id,run_status,status_notes,blocked_reason
SPY_200d_trend_model,SPY 200-Day Trend Model,exact_family,broad_etf_trend,absolute_trend,tier3_candidate_validation,True,implemented,True,3000,"['SPY', 'BIL']",existing SPY_200d_trend_model v1,equity trend participation with defensive cash proxy during long downtrends,equity drawdown and whipsaw,run_profit_exploration,"['change_rules', 'tune_parameters', 'promote_to_real_money', 'add_broker_integration', 'modify_paper_forward_rules']",Frozen paper-forward candidate is only compared here; its rules are not modified.,20260602_145735,completed,completed from cached adjusted ETF prices,
SPY_buy_hold,SPY Buy And Hold,benchmark_family,broad_etf_buy_hold,buy_and_hold,benchmark,True,benchmark_only,True,3000,['SPY'],benchmark adjusted close buy-and-hold,uncompensated broad equity beta,deep equity drawdown,run_profit_exploration,"['promote_to_real_money', 'add_broker_integration', 'modify_paper_forward_rules']",Aggressive benchmark only.,20260602_145735,completed,completed from cached adjusted ETF prices,
GLD_buy_hold,GLD Buy And Hold,benchmark_family,gold_commodity_etf,buy_and_hold,benchmark,True,benchmark_only,True,3000,['GLD'],benchmark adjusted close buy-and-hold,gold trend and crisis/real-rate sensitivity,commodity drawdown and regime shifts,run_profit_exploration,"['promote_to_real_money', 'add_broker_integration', 'modify_paper_forward_rules']","Target-rich benchmark in family challenge, but drawdown must be penalized.",20260602_145735,completed,completed from cached adjusted ETF prices,
IEF_buy_hold,IEF Buy And Hold,benchmark_family,bond_treasury_etf,buy_and_hold,benchmark,True,benchmark_only,True,3000,['IEF'],benchmark adjusted close buy-and-hold,intermediate Treasury total return,rate drawdown and low upside,run_profit_exploration,"['promote_to_real_money', 'add_broker_integration', 'modify_paper_forward_rules']",Defensive benchmark.,20260602_145735,completed,completed from cached adjusted ETF prices,
BIL_cash_proxy,BIL Cash Proxy,benchmark_family,cash_treasury_proxy,cash_proxy,benchmark,True,benchmark_only,True,3000,['BIL'],benchmark adjusted close buy-and-hold,cash-like Treasury bill return,too slow for challenge profit hurdles,run_profit_exploration,"['promote_to_real_money', 'add_broker_integration', 'modify_paper_forward_rules']",Defensive/cash benchmark only.,20260602_145735,completed,completed from cached adjusted ETF prices,
A_ETF_sector_momentum,A ETF Sector Momentum,exact_family,etf_sector_momentum,sector_momentum,tier2_credible_prototype,true_if_exact_stream_available,implemented_if_exact_stream_available,True,3000,['existing ETF strategy family A'],existing A_ETF_sector_momentum rules,sector momentum concentration,exact fresh-window stream not exposed in compact mode,audit_harden,"['approximate_from_summary_metrics', 'change_rules', 'tune_parameters', 'promote_to_real_money']",Run only if exact fresh-window stream is exposed; otherwise incomplete.,20260602_145735,incomplete_evidence,exact fresh-window stream is not exposed in compact profit exploration; no summary-metric approximation used,
current_no_cash_proxy_alpha_AB,Current No-Cash-Proxy Alpha A/B,exact_family,etf_ab_strategy,sector_momentum_plus_trend_following,tier3_candidate_validation_if_exhaustive,true_if_exact_stream_available,implemented_if_exact_stream_available,True,3000,['existing A/B ETF strategy'],existing current_no_cash_proxy_alpha_AB v1,custom ETF rotation/control logic,exact fresh-window family stream not exposed in compact mode,audit_harden,"['approximate_from_summary_metrics', 'change_rules', 'tune_parameters', 'promote_to_real_money']",Frozen paper-forward control is not modified.,20260602_145735,incomplete_evidence,exact fresh-window stream is not exposed in compact profit exploration; no summary-metric approximation used,
GLD_200d_trend_model_v1,GLD 200-Day Trend Model,strategy_variant,gold_commodity_etf,absolute_trend,tier2_credible_prototype,True,implemented_exploratory,True,3000,"['GLD', 'BIL']",predeclared profit exploration fixed rule,gold trend participation with BIL defensive fallback,whipsaw and reduced upside versus GLD buy-hold,run_profit_exploration,"['tune_sma_length', 'tune_parameters', 'promote_to_real_money', 'add_broker_integration']","New isolated profit experiment, not paper-forward.",20260602_145735,completed,completed from cached adjusted ETF prices,
IEF_200d_trend_model_v1,IEF 200-Day Trend Model,strategy_variant,bond_treasury_etf,absolute_trend,tier2_credible_prototype,True,implemented_exploratory,True,3000,"['IEF', 'BIL']",predeclared profit exploration fixed rule,bond trend participation with BIL fallback,low upside and rate whipsaw,run_profit_exploration,"['tune_sma_length', 'tune_parameters', 'promote_to_real_money', 'add_broker_integration']","New isolated profit experiment, not paper-forward.",20260602_145735,completed,completed from cached adjusted ETF prices,
SPY_GLD_dual_momentum_v1,SPY GLD Dual Momentum,strategy_variant,multi_asset_etf,dual_momentum,tier2_credible_prototype,True,implemented_exploratory,True,3000,"['SPY', 'GLD', 'BIL']",predeclared 126-day return and 200-day SMA filter,rotate between equity and gold momentum,regime whipsaw and single-asset concentration,run_profit_exploration,"['tune_lookback', 'tune_sma_length', 'grid_search', 'promote_to_real_money']","Monthly rebalance, top asset only, no leverage.",20260602_145735,completed,completed from cached adjusted ETF prices,
