gate_name,status,evidence,blocker,required_next_action
evidence_gate,conditional,Managed-futures and trend-following literature prior exists but ETF/fund proxy evidence is not yet local or quality-reviewed,Proxy evidence is fund-wrapper-specific and unverified,Create data acquisition and proxy methodology review
data_gate,fail,DBMF KMLM CTA FMF WTMF are missing from local cache,No no-network implementation is possible,Create data acquisition review
execution_realism_gate,conditional,Future implementation could treat an ETF/fund wrapper as daily adjusted-price data,Internal futures roll leverage and margin are not modeled,Accept wrapper-level proxy treatment before coding
risk_model_gate,conditional,The $3000 target ladder and -$600 stop framework can evaluate ETF/fund returns if data passes,No proxy stream exists yet,Revisit after data quality review
benchmark_gate,pass,Primary and secondary benchmarks are defined,No blocker,Use combo and top2 as primary benchmarks in any future test
diversification_gate,conditional,Managed-futures proxy may diversify equity-heavy candidates,Correlation and crisis behavior are unmeasured,Require correlation and drawdown co-incidence diagnostics
complexity_gate,conditional,A future rule must stay simple and fixed using ETF/fund prices only,Do not add futures contract logic or variants,Approve only a single fixed wrapper-level rule later
target_potential_gate,conditional,Potential target improvement is unknown,Proxy may be too slow for +300/+400,Require research_sample evidence after data gate
anti_overfitting_gate,pass,No parameter grid or variant selection is allowed,No blocker,Use one fixed rule only if implementation is later approved

