strategy_id,family,instrument_lane,registry_lane,evidence_tier,current_status,implementation_status,paper_forward_active,real_money_recommendation,candidate_exhaustive_run,candidate_exhaustive_recommended,promotion_review_required,promotion_decision,promotion_reason,primary_failure_mode,duplication_risk,risk_budget_status,latest_evidence_path,metrics_source,target_300_evidence,target_400_evidence,drawdown_evidence,stop_hit_evidence,stress_evidence,missing_evidence,evidence_needed,blocked_reason,duplicate_of,recommended_next_action,candidate_exhaustive_allowed,paper_forward_allowed,allowed_next_actions,forbidden_next_actions
SPY_200d_trend_model_sim_1_25x_v1,trend leverage diagnostic,ETF simulated leverage,compact_challenge,tier1_exploratory,too_risky,implemented_exploratory,False,False,False,False,False,mark_too_risky,"Risk budget, stop rate, leverage/mechanics, or high-upside/high-risk status prevents promotion.",risk_budget_or_policy_breach,not_flagged,breached_or_high_risk,evidence/challenge_runs/latest/,,,,,,,,risk-control evidence with drawdown inside budget,,,research_sample_review,False,False,audit_harden,observe_as_paper_forward;promote_to_real_money;add_broker_integration;treat_as_validated;tune_leverage_multiplier
SPY_200d_trend_model_sim_1_5x_v1,trend leverage diagnostic,ETF simulated leverage,compact_challenge,tier1_exploratory,too_risky,implemented_exploratory,False,False,False,False,False,mark_too_risky,"Risk budget, stop rate, leverage/mechanics, or high-upside/high-risk status prevents promotion.",risk_budget_or_policy_breach,not_flagged,breached_or_high_risk,evidence/challenge_runs/latest/,,,,,,,,risk-control evidence with drawdown inside budget,,,research_sample_review,False,False,audit_harden,observe_as_paper_forward;promote_to_real_money;add_broker_integration;treat_as_validated;tune_leverage_multiplier
SPY_buy_hold_sim_1_25x_v1,buy_hold leverage diagnostic,ETF simulated leverage,compact_challenge,tier1_exploratory,too_risky,implemented_exploratory,False,False,False,False,False,mark_too_risky,"Risk budget, stop rate, leverage/mechanics, or high-upside/high-risk status prevents promotion.",risk_budget_or_policy_breach,not_flagged,breached_or_high_risk,evidence/challenge_runs/latest/,,,,,,,,risk-control evidence with drawdown inside budget,,,research_sample_review,False,False,audit_harden,observe_as_paper_forward;promote_to_real_money;add_broker_integration;treat_as_validated;tune_leverage_multiplier
SPY_buy_hold_sim_1_5x_v1,buy_hold leverage diagnostic,ETF simulated leverage,compact_challenge,tier1_exploratory,too_risky,implemented_exploratory,False,False,False,False,False,mark_too_risky,"Risk budget, stop rate, leverage/mechanics, or high-upside/high-risk status prevents promotion.",risk_budget_or_policy_breach,not_flagged,breached_or_high_risk,evidence/challenge_runs/latest/,,,,,,,,risk-control evidence with drawdown inside budget,,,research_sample_review,False,False,audit_harden,observe_as_paper_forward;promote_to_real_money;add_broker_integration;treat_as_validated;tune_leverage_multiplier
SPY_200d_exposure_frontier_1_05x_v1,SPY_200d exposure frontier diagnostic,ETF simulated exposure,compact_challenge,tier1_exploratory,too_risky,implemented_exploratory,False,False,False,False,False,mark_too_risky,"Risk budget, stop rate, leverage/mechanics, or high-upside/high-risk status prevents promotion.",risk_budget_or_policy_breach,not_flagged,breached_or_high_risk,evidence/challenge_runs/latest/,,,,,,,,risk-control evidence with drawdown inside budget,,,research_sample_review,False,False,audit_harden,observe_as_paper_forward;promote_to_real_money;add_broker_integration;treat_as_validated;tune_exposure_multiplier
SPY_200d_exposure_frontier_1_10x_v1,SPY_200d exposure frontier diagnostic,ETF simulated exposure,compact_challenge,tier1_exploratory,too_risky,implemented_exploratory,False,False,False,False,False,mark_too_risky,"Risk budget, stop rate, leverage/mechanics, or high-upside/high-risk status prevents promotion.",risk_budget_or_policy_breach,not_flagged,breached_or_high_risk,evidence/challenge_runs/latest/,,,,,,,,risk-control evidence with drawdown inside budget,,,research_sample_review,False,False,audit_harden,observe_as_paper_forward;promote_to_real_money;add_broker_integration;treat_as_validated;tune_exposure_multiplier
SPY_200d_exposure_frontier_1_15x_v1,SPY_200d exposure frontier diagnostic,ETF simulated exposure,compact_challenge,tier1_exploratory,too_risky,implemented_exploratory,False,False,False,False,False,mark_too_risky,"Risk budget, stop rate, leverage/mechanics, or high-upside/high-risk status prevents promotion.",risk_budget_or_policy_breach,not_flagged,breached_or_high_risk,evidence/challenge_runs/latest/,,,,,,,,risk-control evidence with drawdown inside budget,,,research_sample_review,False,False,audit_harden,observe_as_paper_forward;promote_to_real_money;add_broker_integration;treat_as_validated;tune_exposure_multiplier
SPY_200d_exposure_frontier_1_20x_v1,SPY_200d exposure frontier diagnostic,ETF simulated exposure,compact_challenge,tier1_exploratory,too_risky,implemented_exploratory,False,False,False,False,False,mark_too_risky,"Risk budget, stop rate, leverage/mechanics, or high-upside/high-risk status prevents promotion.",risk_budget_or_policy_breach,not_flagged,breached_or_high_risk,evidence/challenge_runs/latest/,,,,,,,,risk-control evidence with drawdown inside budget,,,research_sample_review,False,False,audit_harden,observe_as_paper_forward;promote_to_real_money;add_broker_integration;treat_as_validated;tune_exposure_multiplier
SPY_200d_exposure_frontier_1_25x_v1,SPY_200d exposure frontier diagnostic,ETF simulated exposure,compact_challenge,tier1_exploratory,too_risky,implemented_exploratory,False,False,False,False,False,mark_too_risky,"Risk budget, stop rate, leverage/mechanics, or high-upside/high-risk status prevents promotion.",risk_budget_or_policy_breach,not_flagged,breached_or_high_risk,evidence/challenge_runs/latest/,,,,,,,,risk-control evidence with drawdown inside budget,,,research_sample_review,False,False,audit_harden,observe_as_paper_forward;promote_to_real_money;add_broker_integration;treat_as_validated;tune_exposure_multiplier
portfolio_spy200d_60_ief_20_bil_20_v1,fixed_weight_portfolio,diversified ETF portfolio,compact_challenge,tier3_candidate_validation,too_slow,implemented_exploratory,False,False,False,False,False,mark_too_slow,Row is defensive or slow relative to the +300/+400 challenge target.,target_rate_too_slow,not_flagged,controlled_but_too_slow,evidence/challenge_runs/latest/,,,,,,,,meaningful target-rate improvement without risk-budget breach,,,research_sample_review,False,False,run_challenge_audit,observe_as_paper_forward;promote_to_real_money;add_broker_integration;treat_as_validated_without_exhaustive;tune_weights
