rank_overall,rank_target_300,rank_target_400,rank_risk_control,lane,strategy,portfolio_id,portfolio_role,family_id,family_group,family_role,implementation_status,run_status,final_validation_completed,sampled_results_are_final,role,leverage_multiplier,exposure_multiplier,standard_or_stress,pct_90d_target_300_before_stop,pct_90d_target_400_before_stop,pct_90d_any_stop_hit,median_90d_stop_enforced_equity,worst_90d_max_drawdown,worst_stop_enforced_loss,pct_90d_stop_overshoot_gt_50,pct_90d_stop_overshoot_gt_100,average_exposure,target_300_gain_vs_1x,target_400_gain_vs_1x,stop_hit_increase_vs_1x,worst_drawdown_worsening_vs_1x,target_300_change_vs_spy_200d,target_400_change_vs_spy_200d,stop_hit_change_vs_spy_200d,worst_drawdown_change_vs_spy_200d,median_equity_change_vs_spy_200d,diversification_score,max_single_sleeve_weight,cash_weight,bond_weight,gold_weight,crypto_weight,diagnostic_score,family_comparison_score,stop_enforced_final_equity,stress_result_available,stress_degradation_pct,benchmark_relative_result,credibility_tier,audit_verdict,stop_enforced_metric_quality,benchmark_comparison_available,benchmark_comparison_notes,risk_framework_name,risk_band,risk_budget_used_pct,target_300_progress_pct,target_400_progress_pct,drawdown_warning_hit,drawdown_review_hit,hard_stop_hit,risk_framework_verdict,exposure_policy_status,instrument_risk_role,paper_forward_allowed_by_risk_framework,promotion_blockers,ranking_penalty_notes,reason
1,5,5,11,independent_family_challenge,SPY_200d_trend_model,,,family_broad_etf_spy200d_v1,broad_etf_trend,leading_practical_etf_candidate,implemented,completed,False,False,leading_practical_etf_candidate,1.0,1.0,standard,0.228,0.082,0.002,3073.6534667714363,-603.3051420435645,-470.27646109268426,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,16.5383352057671,2966.663066194596,True,-0.021295588367675332,-33.33693380540399,tier3_candidate_validation,benchmark_candidate,exact,True,"SPY_buy_hold, SPY_200d_trend_model, and BIL_cash_proxy 90-day rows available.",balanced_speculative_research_v1,hard_stop,1.0055085700726074,0.24551155590478782,0.18413366692859084,True,True,True,incomplete_evidence,paper_forward_eligible_if_candidate_validated,core,False,final_validation_completed_false,90d +300 before stop 22.8%; 90d stop hit 0.2%; 90d +400 before stop 8.2%; large recovery after stop warning; worst 90d drawdown beyond $600 (-603.31); independent family row family_id=family_broad_etf_spy200d_v1 group=broad_etf_trend run_status=completed; not a portfolio mix; no shared capital; finalist all_possible validation incomplete or unavailable,90d +300 before stop 22.8%; 90d stop hit 0.2%; 90d +400 before stop 8.2%; large recovery after stop warning; worst 90d drawdown beyond $600 (-603.31); independent family row family_id=family_broad_etf_spy200d_v1 group=broad_etf_trend run_status=completed; not a portfolio mix; no shared capital; finalist all_possible validation incomplete or unavailable
2,6,6,2,independent_family_challenge,IEF_buy_hold,,,family_bond_treasury_ief_v1,bond_treasury_etf,bond_defensive_benchmark,implemented_if_data_available,completed,False,False,bond_defensive_benchmark,1.0,1.0,standard,0.082,0.03,0.0,3023.893689123902,-398.52784239373113,-336.4583297638869,0.0,0.0,,,,,,-0.14600000000000002,-0.052000000000000005,-0.002,204.77729964983337,-49.75977764753452,0.0,,0.0,0.0,0.0,0.0,0.0,9.09003119271496,5662.46251372709,True,-0.0004984403642520677,2662.4625137270896,benchmark,too_slow,exact,True,"SPY_buy_hold, SPY_200d_trend_model, and BIL_cash_proxy 90-day rows available.",balanced_speculative_research_v1,warning,0.6642130706562186,0.07964563041300607,0.05973422280975456,True,False,False,incomplete_evidence,paper_forward_eligible_if_candidate_validated,defensive_benchmark,False,final_validation_completed_false,90d +300 before stop 8.2%; 90d stop hit 0.0%; 90d +400 before stop 3.0%; independent family row family_id=family_bond_treasury_ief_v1 group=bond_treasury_etf run_status=completed; not a portfolio mix; no shared capital; finalist all_possible validation incomplete or unavailable,90d +300 before stop 8.2%; 90d stop hit 0.0%; 90d +400 before stop 3.0%; independent family row family_id=family_bond_treasury_ief_v1 group=bond_treasury_etf run_status=completed; not a portfolio mix; no shared capital; finalist all_possible validation incomplete or unavailable
3,7,7,1,independent_family_challenge,BIL_cash_proxy,,,family_cash_treasury_bil_v1,cash_treasury_proxy,defensive_benchmark,implemented,completed,False,False,defensive_benchmark,1.0,1.0,standard,0.0,0.0,0.0,3003.7347286042514,-23.44995354466073,-4.698514444616649,0.0,0.0,,,,,,-0.228,-0.082,-0.002,579.8551884989038,-69.91873816718498,0.0,,0.0,0.0,0.0,0.0,0.0,-0.010005002501429383,3870.8587865925588,True,-0.0005002501250714692,870.8587865925588,benchmark,benchmark_only,exact,True,"SPY_buy_hold, SPY_200d_trend_model, and BIL_cash_proxy 90-day rows available.",balanced_speculative_research_v1,normal,0.039083255907767886,0.012449095347504529,0.009336821510628398,False,False,False,incomplete_evidence,paper_forward_eligible_if_candidate_validated,defensive_benchmark,True,final_validation_completed_false,90d +300 before stop 0.0%; 90d stop hit 0.0%; independent family row family_id=family_cash_treasury_bil_v1 group=cash_treasury_proxy run_status=completed; not a portfolio mix; no shared capital; finalist all_possible validation incomplete or unavailable,90d +300 before stop 0.0%; 90d stop hit 0.0%; independent family row family_id=family_cash_treasury_bil_v1 group=cash_treasury_proxy run_status=completed; not a portfolio mix; no shared capital; finalist all_possible validation incomplete or unavailable
4,2,3,12,independent_family_challenge,GLD_buy_hold,,,family_gold_gld_v1,gold_commodity_etf,gold_defensive_benchmark,implemented_if_data_available,completed,False,False,gold_defensive_benchmark,1.0,1.0,standard,0.514,0.424,0.082,3179.008700028722,-840.6158777304431,-669.8285524032617,0.026,0.0,,,,,,0.28600000000000003,0.34199999999999997,0.08,-237.31073568687862,105.35523325728582,0.0,,0.0,0.0,0.0,0.0,-2.6,-13.42450839096066,4131.341801422975,True,-0.0005053647311578894,1131.3418014229746,benchmark,watchlist,exact,True,"SPY_buy_hold, SPY_200d_trend_model, and BIL_cash_proxy 90-day rows available.",balanced_speculative_research_v1,hard_stop,1.4010264628840718,0.5966956667624072,0.4475217500718054,True,True,True,incomplete_evidence,paper_forward_eligible_if_candidate_validated,satellite,False,final_validation_completed_false;project_stop_hit,90d +300 before stop 51.4%; 90d stop hit 8.2%; 90d +400 before stop 42.4%; large recovery after stop warning; worst 90d drawdown beyond $600 (-840.62); independent family row family_id=family_gold_gld_v1 group=gold_commodity_etf run_status=completed; not a portfolio mix; no shared capital; finalist all_possible validation incomplete or unavailable,90d +300 before stop 51.4%; 90d stop hit 8.2%; 90d +400 before stop 42.4%; large recovery after stop warning; worst 90d drawdown beyond $600 (-840.62); independent family row family_id=family_gold_gld_v1 group=gold_commodity_etf run_status=completed; not a portfolio mix; no shared capital; finalist all_possible validation incomplete or unavailable
5,4,4,13,independent_family_challenge,SPY_buy_hold,,,family_broad_etf_spy_buy_hold_v1,broad_etf_buy_hold,aggressive_equity_benchmark,implemented,completed,False,False,aggressive_equity_benchmark,1.0,1.0,standard,0.338,0.186,0.156,3124.366631464045,-1280.6792098551089,-767.7846609753828,0.058,0.014,,,,,,0.11000000000000001,0.104,0.154,-677.3740678115444,50.71316469260864,0.0,,0.0,0.0,0.0,0.0,-8.040000000000001,-132.47368984839272,2752.9007161024706,True,-0.0004991904627668591,-247.0992838975294,benchmark,benchmark_candidate,exact,True,"SPY_buy_hold, SPY_200d_trend_model, and BIL_cash_proxy 90-day rows available.",balanced_speculative_research_v1,hard_stop,2.1344653497585147,0.4145554382134833,0.31091657866011246,True,True,True,incomplete_evidence,paper_forward_eligible_if_candidate_validated,core,False,final_validation_completed_false;project_stop_hit,90d +300 before stop 33.8%; 90d stop hit 15.6%; 90d +400 before stop 18.6%; large recovery after stop warning; worst 90d drawdown beyond $600 (-1280.68); independent family row family_id=family_broad_etf_spy_buy_hold_v1 group=broad_etf_buy_hold run_status=completed; not a portfolio mix; no shared capital; finalist all_possible validation incomplete or unavailable,90d +300 before stop 33.8%; 90d stop hit 15.6%; 90d +400 before stop 18.6%; large recovery after stop warning; worst 90d drawdown beyond $600 (-1280.68); independent family row family_id=family_broad_etf_spy_buy_hold_v1 group=broad_etf_buy_hold run_status=completed; not a portfolio mix; no shared capital; finalist all_possible validation incomplete or unavailable
6,3,2,14,independent_family_challenge,crypto_time_series_momentum,,,family_crypto_spot_time_series_momentum_v1,crypto_spot_momentum,high_volatility_exploratory_family,implemented_exploratory,completed,False,False,high_volatility_exploratory_family,1.0,1.0,standard,0.48,0.44,0.332,3000.0,-2683.847031451861,-680.9619844840122,0.0,0.0,,,,,,0.252,0.358,0.33,-2080.5418894082964,-73.65346677143634,0.0,,0.0,0.0,0.0,0.0,-3.0,-390.2275359801941,4238.299992532238,True,-0.001952844655075085,1238.2999925322383,tier1_exploratory,exploratory_only,exact,True,"SPY_buy_hold, SPY_200d_trend_model, and BIL_cash_proxy 90-day rows available.",balanced_speculative_research_v1,hard_stop,4.473078385753102,0.0,0.0,True,True,True,too_risky,paper_forward_eligible_if_candidate_validated,exploratory,False,tier1_exploratory;final_validation_completed_false;project_stop_hit,90d +300 before stop 48.0%; 90d stop hit 33.2%; 90d +400 before stop 44.0%; Tier 1 exploratory penalty; large recovery after stop warning; worst 90d drawdown beyond $600 (-2683.85); approximate cost-model penalty; independent family row family_id=family_crypto_spot_time_series_momentum_v1 group=crypto_spot_momentum run_status=completed; not a portfolio mix; no shared capital; finalist all_possible validation incomplete or unavailable,90d +300 before stop 48.0%; 90d stop hit 33.2%; 90d +400 before stop 44.0%; Tier 1 exploratory penalty; large recovery after stop warning; worst 90d drawdown beyond $600 (-2683.85); approximate cost-model penalty; independent family row family_id=family_crypto_spot_time_series_momentum_v1 group=crypto_spot_momentum run_status=completed; not a portfolio mix; no shared capital; finalist all_possible validation incomplete or unavailable
7,1,1,15,independent_family_challenge,crypto_buy_hold_equal_weight,,,family_crypto_spot_buy_hold_equal_weight_v1,crypto_spot_buy_hold,crypto_benchmark_family,implemented_exploratory,completed,False,False,crypto_benchmark_family,1.0,1.0,standard,0.68,0.584,0.7,3185.2251673153073,-3003.415886605899,-1367.3216893408203,0.0,0.0,,,,,,0.45200000000000007,0.502,0.698,-2400.1107445623343,111.57170054387097,0.0,,0.0,0.0,0.0,0.0,-3.0,-581.2374790385464,2332.791886831467,True,-0.0021950031370227,-667.2081131685331,tier1_exploratory,exploratory_only,exact,True,"SPY_buy_hold, SPY_200d_trend_model, and BIL_cash_proxy 90-day rows available.",balanced_speculative_research_v1,hard_stop,5.005693144343165,0.6174172243843578,0.4630629182882683,True,True,True,too_risky,paper_forward_eligible_if_candidate_validated,exploratory,False,tier1_exploratory;final_validation_completed_false;project_stop_hit,90d +300 before stop 68.0%; 90d stop hit 70.0%; 90d +400 before stop 58.4%; Tier 1 exploratory penalty; large recovery after stop warning; worst 90d drawdown beyond $600 (-3003.42); approximate cost-model penalty; independent family row family_id=family_crypto_spot_buy_hold_equal_weight_v1 group=crypto_spot_buy_hold run_status=completed; not a portfolio mix; no shared capital; finalist all_possible validation incomplete or unavailable,90d +300 before stop 68.0%; 90d stop hit 70.0%; 90d +400 before stop 58.4%; Tier 1 exploratory penalty; large recovery after stop warning; worst 90d drawdown beyond $600 (-3003.42); approximate cost-model penalty; independent family row family_id=family_crypto_spot_buy_hold_equal_weight_v1 group=crypto_spot_buy_hold run_status=completed; not a portfolio mix; no shared capital; finalist all_possible validation incomplete or unavailable
8,8,8,16,independent_family_challenge,A_ETF_sector_momentum,,,family_etf_sector_momentum_A_v1,etf_sector_momentum,ETF momentum family reference,implemented_if_exact_stream_available,incomplete_evidence,False,False,ETF momentum family reference,1.0,1.0,standard,0.0,0.0,1.0,,,,,,,,,,,-0.228,-0.082,0.998,,,0.0,,0.0,0.0,0.0,0.0,,-800.0,,False,,,tier2_credible_prototype,incomplete_evidence,unavailable,True,"SPY_buy_hold, SPY_200d_trend_model, and BIL_cash_proxy 90-day rows available.",balanced_speculative_research_v1,hard_stop,0.0,0.0,0.0,False,False,True,incomplete_evidence,paper_forward_eligible_if_candidate_validated,satellite,False,stop_enforced_metric_quality_unavailable;final_validation_completed_false;project_stop_hit,90d +300 before stop 0.0%; 90d stop hit 100.0%; unavailable stop-enforced metric penalty; unavailable cost-model penalty; independent family row family_id=family_etf_sector_momentum_A_v1 group=etf_sector_momentum run_status=incomplete_evidence; not a portfolio mix; no shared capital; unavailable/incomplete family evidence; finalist all_possible validation incomplete or unavailable,90d +300 before stop 0.0%; 90d stop hit 100.0%; unavailable stop-enforced metric penalty; unavailable cost-model penalty; independent family row family_id=family_etf_sector_momentum_A_v1 group=etf_sector_momentum run_status=incomplete_evidence; not a portfolio mix; no shared capital; unavailable/incomplete family evidence; finalist all_possible validation incomplete or unavailable
9,9,9,17,independent_family_challenge,current_no_cash_proxy_alpha_AB,,,family_etf_ab_no_cash_v1,etf_ab_strategy,custom ETF strategy family control,implemented_if_exact_stream_available,incomplete_evidence,False,False,custom ETF strategy family control,1.0,1.0,standard,0.0,0.0,1.0,,,,,,,,,,,-0.228,-0.082,0.998,,,0.0,,0.0,0.0,0.0,0.0,,-800.0,,False,,,tier3_candidate_validation_if_exhaustive,incomplete_evidence,unavailable,True,"SPY_buy_hold, SPY_200d_trend_model, and BIL_cash_proxy 90-day rows available.",balanced_speculative_research_v1,hard_stop,0.0,0.0,0.0,False,False,True,incomplete_evidence,paper_forward_eligible_if_candidate_validated,defensive_benchmark,False,stop_enforced_metric_quality_unavailable;final_validation_completed_false;project_stop_hit,90d +300 before stop 0.0%; 90d stop hit 100.0%; unavailable stop-enforced metric penalty; unavailable cost-model penalty; independent family row family_id=family_etf_ab_no_cash_v1 group=etf_ab_strategy run_status=incomplete_evidence; not a portfolio mix; no shared capital; unavailable/incomplete family evidence; finalist all_possible validation incomplete or unavailable,90d +300 before stop 0.0%; 90d stop hit 100.0%; unavailable stop-enforced metric penalty; unavailable cost-model penalty; independent family row family_id=family_etf_ab_no_cash_v1 group=etf_ab_strategy run_status=incomplete_evidence; not a portfolio mix; no shared capital; unavailable/incomplete family evidence; finalist all_possible validation incomplete or unavailable
10,10,10,3,independent_family_challenge,family_individual_stock_momentum_v1,,,family_individual_stock_momentum_v1,individual_stock_momentum,blocked_research_family,blocked_by_gate,blocked_by_gate,False,False,blocked_research_family,1.0,1.0,standard,0.0,0.0,0.0,,,,0.0,0.0,,,,,,-0.228,-0.082,-0.002,,,0.0,,0.0,0.0,0.0,0.0,-6.0,-1000.0,,False,,,blocked,blocked_by_gate,unavailable,True,"SPY_buy_hold, SPY_200d_trend_model, and BIL_cash_proxy 90-day rows available.",balanced_speculative_research_v1,normal,0.0,0.0,0.0,False,False,False,blocked_by_gate,paper_forward_eligible_if_candidate_validated,blocked_until_gate,False,stop_enforced_metric_quality_unavailable;final_validation_completed_false,90d +300 before stop 0.0%; 90d stop hit 0.0%; unavailable stop-enforced metric penalty; unavailable cost-model penalty; independent family row family_id=family_individual_stock_momentum_v1 group=individual_stock_momentum run_status=blocked_by_gate; not a portfolio mix; no shared capital; blocked reason Gate 1A continue_defer; no survivorship-free data/delisting treatment.; finalist all_possible validation incomplete or unavailable,90d +300 before stop 0.0%; 90d stop hit 0.0%; unavailable stop-enforced metric penalty; unavailable cost-model penalty; independent family row family_id=family_individual_stock_momentum_v1 group=individual_stock_momentum run_status=blocked_by_gate; not a portfolio mix; no shared capital; blocked reason Gate 1A continue_defer; no survivorship-free data/delisting treatment.; finalist all_possible validation incomplete or unavailable
