strategy_id,rebalance_dates_monthly,same_monthly_convention,valid_trading_dates,first_rebalance_after_warmup,holdings_persist_between_rebalances,weights_sum_to_1,BIL_receives_unused_allocation,no_implicit_daily_switching,notes
mf_wrapper_top1_trend_v1,True,True,True,True,True,True,True,True,Implementation convention rebalances on first trading day of a new month using previous trading day's signal.
mf_wrapper_top2_risk_adjusted_v1,True,True,True,True,True,True,True,True,Implementation convention rebalances on first trading day of a new month using previous trading day's signal.
mf_wrapper_plus_spy_70_30_v1,True,True,True,True,True,True,True,True,Implementation convention rebalances on first trading day of a new month using previous trading day's signal.
mf_wrapper_defensive_cash_switch_v1,True,True,True,True,True,True,True,True,Implementation convention rebalances on first trading day of a new month using previous trading day's signal.
dm_global_dual_momentum_top1_v1,True,True,True,True,True,True,True,True,Implementation convention rebalances on first trading day of a new month using previous trading day's signal.
dm_multi_asset_top2_absolute_momentum_v1,True,True,True,True,True,True,True,True,Implementation convention rebalances on first trading day of a new month using previous trading day's signal.
dm_protective_canary_bil_v1,True,True,True,True,True,True,True,True,Implementation convention rebalances on first trading day of a new month using previous trading day's signal.
dm_balanced_offensive_defensive_v1,True,True,True,True,True,True,True,True,Implementation convention rebalances on first trading day of a new month using previous trading day's signal.
dm_paa_breadth_protection_v1,True,True,True,True,True,True,True,True,Implementation convention rebalances on first trading day of a new month using previous trading day's signal.
gtaa_top3_trend_filter_v1,True,True,True,True,True,True,True,True,Implementation convention rebalances on first trading day of a new month using previous trading day's signal.
gtaa_equal_weight_trend_filter_v1,True,True,True,True,True,True,True,True,Implementation convention rebalances on first trading day of a new month using previous trading day's signal.
gtaa_top2_risk_adjusted_v1,True,True,True,True,True,True,True,True,Implementation convention rebalances on first trading day of a new month using previous trading day's signal.
gtaa_spy_gld_ief_static_trend_v1,True,True,True,True,True,True,True,True,Implementation convention rebalances on first trading day of a new month using previous trading day's signal.
gtaa_breadth_defensive_v1,True,True,True,True,True,True,True,True,Implementation convention rebalances on first trading day of a new month using previous trading day's signal.
vm_quality_lowvol_proxy_v1,True,True,True,True,True,True,False,True,Implementation convention rebalances on first trading day of a new month using previous trading day's signal.
dsr_sector_equal_weight_defensive_filter_v1,True,True,True,True,True,True,False,True,Implementation convention rebalances on first trading day of a new month using previous trading day's signal.
gror_balanced_momentum_60_40_v1,True,True,True,True,True,True,True,True,Implementation convention rebalances on first trading day of a new month using previous trading day's signal.
