instrument_or_strategy,category,profit_potential,risk_level,evidence_quality,data_quality,execution_realism,modeling_complexity,overfitting_risk,small_account_suitability,can_reach_target_in_theory,main_failure_mode,current_project_status,recommendation,implementation_gate_required,notes
Cash / BIL / SGOV proxy,cash/defensive,low,low,moderate,good,high,low,low,good,no,return too low for challenge target,benchmark_only,use_as_benchmark,Gate 1,"Useful for cash drag and defensive comparison, not a primary target engine."
SPY buy-and-hold,broad ETF benchmark,moderate,moderate,strong,good,high,low,low,good,yes,drawdown and timing risk,benchmark_only,use_as_benchmark,Gate 1,"Benchmark beta can hit target in strong windows but does not prove strategy edge."
Broad ETF investing,ETF core,moderate,moderate,moderate,good,high,low_to_moderate,moderate,good,yes,benchmark dependence,active_phase_1,keep_testing,Gate 3,"Appropriate Phase 1 research area."
Sector ETF rotation,ETF momentum,moderate_to_high,moderate,moderate,good,high,moderate,moderate_to_high,good,yes,correlation spikes and whipsaw,active_phase_1,keep_testing,Gate 3,"Keep candidate set small and avoid endless rotation variants."
SPY 200-day trend model,trend benchmark,moderate,moderate,strong,good,high,low,low,good,yes,whipsaw and missed rebounds,benchmark_only,use_as_benchmark,Gate 3,"Simple benchmark for tactical rules."
Time-series momentum,trend/momentum,moderate,moderate,strong,good,high,moderate,moderate,good,yes,trend reversals,active_phase_1,keep_testing,Gate 3,"Evidence-backed family worth ETF testing."
Cross-sectional ETF momentum,ETF momentum,moderate_to_high,moderate,moderate,good,high,moderate,moderate_to_high,good,yes,crowded reversals,active_phase_1,keep_testing,Gate 3,"Current A-style approach; needs rolling validation."
Dual momentum,TAA/momentum,moderate,moderate,moderate_to_strong,good,high,moderate,moderate,good,yes,whipsaw and defensive lag,active_phase_1,keep_testing,Gate 3,"Evidence-backed ETF candidate."
Tactical asset allocation,TAA,moderate,moderate,moderate_to_strong,good,high,moderate,moderate,good,yes,slow adaptation,active_phase_1,keep_testing,Gate 3,"Core ETF research direction."
Volatility targeting,risk overlay,moderate,moderate,moderate,good,high,moderate,moderate,good,yes,reduces upside or reacts late,research_only,map_before_implementation,Gate 3,"Useful overlay only if it improves drawdown without destroying target rates."
Risk parity / inverse-volatility allocation,defensive allocation,low_to_moderate,low_to_moderate,moderate,good,high,moderate,moderate,good,maybe,target engine too slow,benchmark_only,use_as_benchmark,Gate 3,"Defensive benchmark, not primary challenge engine."
ETF mean reversion,ETF satellite,moderate,moderate_to_high,weak_to_moderate,good,high,moderate,high,good,yes,chop and repeated small losses,shadow_only,defer_until_data_model_exists,Gate 3,"Current evidence weak; keep shadow-only unless separately revalidated."
ETF breakout / Donchian breakout,ETF trend satellite,moderate,moderate,moderate,good,high,moderate,high,good,yes,false breakouts,shadow_only,map_before_implementation,Gate 3,"Potential later ETF benchmark; do not tune to failures."
