check_name,status,evidence,notes
fixed_rules_confirmed,pass,"profit_lab fixed 50/50 rule source","No rule changes in this review."
no_parameter_tuning,pass,"predeclared 50/50 weights","No optimization or grid search."
full_candidate_exhaustive_completed,pass,"profit_exploration latest","30/60/90/180 all_possible windows completed."
accounting_integrity_passed,pass,"profit_exploration latest","Fresh $3,000 rolling windows and reset stop/target state."
standard_and_stress_reviewed,pass,"standard and stress rows","Stress degradation reviewed."
benchmark_comparison_complete,pass,"COMBO_VS_SPY200D and COMBO_VS_TOP2","Compared to SPY_200d and top2."
drawdown_advantage_reviewed,pass,"RISK_REVIEW","Combo uses less drawdown budget."
target_rate_weakness_acknowledged,pass,"PROMOTION_REVIEW","Combo does not beat SPY_200d on raw +300/+400."
paper_forward_isolation_required,pass,"PROMOTION_DECISION","A separate observation plan is required."
new_observation_id_required,pass,"PROMOTION_DECISION","Do not reuse SPY_200d observation row."
do_not_replace_spy200d_automatically,pass,"PROMOTION_DECISION","SPY_200d remains frozen candidate."
no_broker_integration,pass,"research boundary","No broker integration."
no_live_orders,pass,"research boundary","No live orders."
no_real_money_recommendation,pass,"research boundary","No real-money recommendation is made."

