candidate_id,family,evidence_tier,latest_mode,latest_verdict,deserves_candidate_exhaustive,primary_reason,30d_target_300,30d_target_400,60d_target_300,60d_target_400,90d_target_300,90d_target_400,180d_target_300,180d_target_400,90d_stop_hit,180d_stop_hit,90d_worst_drawdown,180d_worst_drawdown,90d_median_equity,180d_median_equity,risk_label,duplicate_label,short_history_label,paper_forward_active,recommended_next_action
qqq_spy_gld_ief_dual_momentum_v1,dual_momentum,tier2_credible_prototype,research_sample_latest,high_upside_high_risk,False,High target rates came with 17.5% 90d stop-hit and deeper drawdown; keep only as high-upside risk comparator.,0.1,0,0.25,0.15,0.475,0.425,0.675,0.625,0.175,0.3,-678.345,-815.894,3118.19,3457.79,high_upside_high_drawdown_stop_risk,canonical_unique,unavailable,false,archive_reference_high_upside_high_risk
value_momentum_factor_etf_rotation_v1,factor_rotation,tier2_credible_prototype,research_sample_latest,duplicate_or_near_duplicate,False,Equity-factor allocation dominated and duplicate/equity-beta warning tripped; no independent improvement versus combo/top2.,0,0,0.05,0,0.175,0.125,0.475,0.275,0,0.05,-407.74,-605.163,3072.93,3249.98,equity_beta_duplicate_risk,canonical_unique,unavailable,false,archive_reference_equity_beta_duplicate
sector_top2_momentum_simple_v1,sector_momentum,tier2_credible_prototype,research_sample_latest,duplicate_or_near_duplicate,False,"Core-nine sector dispersion is still watchlist-worthy, but equity-sector exposure dominated and stop/drawdown failed combo/top2.",0,0,0.05,0.025,0.125,0.025,0.425,0.35,0.025,0.025,-600.59,-870.193,3093.9,3149.53,equity_beta_duplicate_watchlist,canonical_unique,unavailable,false,watchlist_only
managed_futures_proxy_etf_trend_v1,managed_futures_proxy,tier2_credible_prototype,research_sample_latest,too_slow,False,DBMF/KMLM wrapper proxy row reduced drawdown but BIL-dominated allocation and target rates were too slow; short-history label required.,0,0,0.025,0.025,0.175,0.025,0.25,0.175,0,0,-353.855,-465.248,3010.17,3025.67,too_slow_short_history_wrapper_proxy,canonical_unique,fund_wrapper_proxy_short_history_limited_inception_research_sample_only,false,too_slow_watchlist_diversifier_only
combo_SPY200d_GLD_50_50_v1,combo_trend_gold,tier2_credible_prototype,latest_profit_exploration_plus_full_validation_context,leading_profit_candidate,True,Drawdown-aware practical leader and existing promotion-review path; strongest stop-aware balance.,0,0,0.175,0,0.225,0.15,0.5,0.425,0,0,-419.155,-487.253,3077.57,3205.51,drawdown_aware_practical_leader,canonical_unique,unavailable,false,continue_promotion_review_path
asset_class_tsmom_top2_v1,asset_class_tsmom,tier2_credible_prototype,latest_profit_exploration_plus_full_validation_context,watchlist,True,Serious challenger with stronger target ladder than combo in places but uses more drawdown budget.,0.1,0,0.175,0.125,0.2,0.125,0.55,0.425,0,0,-539.083,-592.678,3097.46,3188.99,serious_challenger_uses_more_drawdown_budget,canonical_unique,unavailable,false,maintain_serious_challenger_review
SPY_200d_trend_model,spy_trend,tier3_candidate_validation,research_sample_latest,watchlist,False,Frozen paper-forward candidate; retains paper-forward role but is not displaced by new research_sample rows.,0.05,0,0.025,0,0.2,0.05,0.575,0.2,0,0.025,-567.455,-727.999,3076.48,3208.39,frozen_paper_forward_reference,canonical_unique,unavailable,true,maintain_frozen_paper_forward_candidate
GLD_buy_hold,benchmark_gold,benchmark,research_sample_latest,high_upside_high_risk,False,High-upside/high-risk benchmark with strong target ladder but unacceptable stop/drawdown profile.,0.125,0.1,0.25,0.2,0.475,0.325,0.55,0.55,0.2,0.225,-842.615,-874.774,3074.22,3480.63,high_upside_high_risk_benchmark,canonical_unique,unavailable,false,benchmark_high_upside_high_risk_only
SPY_buy_hold,benchmark_equity,benchmark,research_sample_latest,too_risky,False,Equity benchmark is too risky under the project stop/drawdown framework.,0.05,0.025,0.15,0.025,0.275,0.1,0.65,0.4,0.2,0.25,-1315.86,-1453.54,3133,3270.19,too_risky_benchmark,canonical_unique,unavailable,true,benchmark_too_risky_only
BIL_cash_proxy,benchmark_cash,benchmark,research_sample_latest,benchmark_only,False,"Defensive cash benchmark, excellent risk control but too slow for target ladder.",0,0,0,0,0,0,0,0,0,0,-23.4535,-23.4535,3011.45,3025.67,defensive_too_slow_benchmark,canonical_unique,unavailable,true,benchmark_defensive_cash_only

