field,value,source,notes
strategy_id,dsr_sector_top2_momentum_200d_bil_v1,registry/prompt,target row
family,defensive_sector_rotation_etf,registry/prompt,same family as active DSR equal-weight observation
rebalance,monthly,promotion_review_implementation,fixed monthly rebalance
universe,XLK;XLF;XLE;XLV;XLY;XLP;XLU;XLI;XLB;XLC;BIL,prompt/cache,sector ETFs plus BIL fallback
candidate_assets,XLK;XLF;XLE;XLV;XLY;XLP;XLU;XLI;XLB;XLC,prompt/cache,BIL is fallback only
eligibility,sector ETF close > 200-day SMA,promotion_review_implementation,per-asset availability
ranking,rank eligible sectors by 126-day return,promotion_review_implementation,no recovered 126d/60d-vol implementation discrepancy found
allocation,top two eligible sectors at 50% each; one sector 50% sector/50% BIL; none 100% BIL,promotion_review_implementation,fixed fallback
data_history_mode,per_asset_availability,promotion_review_implementation,per-asset availability used; common-start at 2018-06-19 would remove about 2885 trading days because of shorter-history symbols such as XLC
forbidden_mechanics,"no leverage, margin, shorting, options, futures, forex, crypto, intraday, broker/live-order path",policy,compliant by review design
