strategy_id,family,instrument_lane,registry_lane,evidence_tier,current_status,implementation_status,paper_forward_active,real_money_recommendation,candidate_exhaustive_run,candidate_exhaustive_recommended,promotion_review_required,promotion_decision,promotion_reason,primary_failure_mode,duplication_risk,risk_budget_status,latest_evidence_path,metrics_source,target_300_evidence,target_400_evidence,drawdown_evidence,stop_hit_evidence,stress_evidence,missing_evidence,evidence_needed,blocked_reason,duplicate_of,recommended_next_action,candidate_exhaustive_allowed,paper_forward_allowed,allowed_next_actions,forbidden_next_actions
SPY_200d_trend_model,absolute_trend,ETF,paper_forward,tier4_paper_forward,active_observation,implemented,True,False,False,False,False,keep_frozen_control,Frozen control or benchmark/control row must remain preserved for comparison; no rule mutation is allowed.,none,not_flagged,control_or_benchmark,evidence/paper_forward_runs/latest/,/Users/jcruzlopez/trading/trading_tournament/evidence/profit_exploration/latest/profit_rankings.csv,0.2307692307692307,0.1025641025641025,-354.0695895855383,,55.77808893374731,,none; compare or observe only,,nan,compare_only,False,False,observe_only,change_rules;tune_parameters;promote_to_real_money;add_broker_integration;place_orders
current_no_cash_proxy_alpha_AB,sector_momentum_plus_trend_following,ETF,paper_forward,tier4_paper_forward,active_observation,implemented,True,False,False,False,False,keep_active_observation,Active paper/demo observation row is protected; review can record status but must not mutate rules or activate anything new.,none,not_flagged,observe_only,evidence/paper_forward_runs/latest/,,,,,,,,scheduled paper/demo checkpoint only,,,observe_only,False,False,observe_only,change_rules;tune_parameters;promote_to_real_money;add_broker_integration;place_orders
SPY_buy_hold,buy_and_hold,ETF,paper_forward,benchmark,benchmark,benchmark_only,True,False,False,False,False,keep_frozen_control,Frozen control or benchmark/control row must remain preserved for comparison; no rule mutation is allowed.,none,not_flagged,control_or_benchmark,evidence/paper_forward_runs/latest/,candidate_status_matrix.csv,,,,,,,none; compare or observe only,,,compare_only,False,False,compare_only,change_rules;tune_parameters;promote_to_real_money;add_broker_integration;place_orders
BIL_cash_proxy,cash_proxy,ETF,paper_forward,benchmark,benchmark,benchmark_only,True,False,False,False,False,keep_frozen_control,Frozen control or benchmark/control row must remain preserved for comparison; no rule mutation is allowed.,none,not_flagged,control_or_benchmark,evidence/paper_forward_runs/latest/,/Users/jcruzlopez/trading/trading_tournament/evidence/profit_exploration/latest/profit_rankings.csv,,,-19.7228771754053,,1.936399041138884,,none; compare or observe only,,nan,compare_only,False,False,compare_only,change_rules;tune_parameters;promote_to_real_money;add_broker_integration;place_orders
family_broad_etf_spy200d_v1,independent_family_challenge,broad_etf_trend,compact_challenge,tier3_candidate_validation,benchmark_candidate,implemented,False,False,False,False,False,keep_frozen_control,Frozen control or benchmark/control row must remain preserved for comparison; no rule mutation is allowed.,none,not_flagged,control_or_benchmark,evidence/challenge_runs/latest/,,,,,,,,none; compare or observe only,,,compare_only,False,False,run_challenge_audit,treat_as_portfolio_allocation;promote_to_real_money;add_broker_integration;treat_as_validated_without_exhaustive
family_broad_etf_spy_buy_hold_v1,independent_family_challenge,broad_etf_buy_hold,compact_challenge,benchmark,benchmark_candidate,benchmark_only,False,False,False,False,False,keep_frozen_control,Frozen control or benchmark/control row must remain preserved for comparison; no rule mutation is allowed.,none,not_flagged,control_or_benchmark,evidence/challenge_runs/latest/,,,,,,,,none; compare or observe only,,,compare_only,False,False,run_challenge_audit,treat_as_portfolio_allocation;promote_to_real_money;add_broker_integration;treat_as_validated_without_exhaustive
family_cash_treasury_bil_v1,independent_family_challenge,cash_treasury_proxy,compact_challenge,benchmark,benchmark,benchmark_only,False,False,False,False,False,keep_frozen_control,Frozen control or benchmark/control row must remain preserved for comparison; no rule mutation is allowed.,none,not_flagged,control_or_benchmark,evidence/challenge_runs/latest/,,,,,,,,none; compare or observe only,,,compare_only,False,False,run_challenge_audit,treat_as_portfolio_allocation;promote_to_real_money;add_broker_integration;treat_as_validated_without_exhaustive
family_bond_treasury_ief_v1,independent_family_challenge,bond_treasury_etf,compact_challenge,benchmark,benchmark,benchmark_only,False,False,False,False,False,keep_frozen_control,Frozen control or benchmark/control row must remain preserved for comparison; no rule mutation is allowed.,none,not_flagged,control_or_benchmark,evidence/challenge_runs/latest/,,,,,,,,none; compare or observe only,,,compare_only,False,False,run_challenge_audit,treat_as_portfolio_allocation;promote_to_real_money;add_broker_integration;treat_as_validated_without_exhaustive
family_gold_gld_v1,independent_family_challenge,gold_commodity_etf,compact_challenge,benchmark,benchmark,benchmark_only,False,False,False,False,False,keep_frozen_control,Frozen control or benchmark/control row must remain preserved for comparison; no rule mutation is allowed.,none,not_flagged,control_or_benchmark,evidence/challenge_runs/latest/,,,,,,,,none; compare or observe only,,,compare_only,False,False,run_challenge_audit,treat_as_portfolio_allocation;promote_to_real_money;add_broker_integration;treat_as_validated_without_exhaustive
profit_combo_SPY200d_GLD_50_50_v1,fixed_weight_combination,fixed ETF combination,profit_exploration,tier2_credible_prototype,active_paper_demo_observation,implemented_research_candidate,True,False,False,False,False,keep_active_observation,Active paper/demo observation row is protected; review can record status but must not mutate rules or activate anything new.,none,not_flagged,observe_only,evidence/paper_forward_observations/combo_SPY200d_GLD_50_50_v1/latest/,/Users/jcruzlopez/trading/trading_tournament/evidence/profit_exploration/latest/profit_rankings.csv,0.2564102564102564,0.1794871794871795,-413.48330614811584,,1848.9750119601017,,scheduled paper/demo checkpoint only,,nan,observe_only,False,False,run_monthly_paper_forward_checkpoint,activate_without_observation_prompt;replace_spy200d_without_governance;promote_to_real_money;add_broker_integration;change_strategy_rules;tune_parameters;skip_checkpoints;fabricate_missing_data;place_live_orders;observe_as_paper_forward_without_observation_plan;replace_spy200d_without_explicit_decision;change_paper_forward_rules;tune_weights
