strategy_id,family,instrument_lane,evidence_tier,current_status,promotion_decision,failure_mode,closest_to_promotion_score,readiness_label,gap_recommended_next_action,failure_mode_reason,exact_evidence_needed_to_change_decision,paper_forward_active
SPY_200d_trend_model,absolute_trend,ETF,tier4_paper_forward,active_observation,keep_frozen_control,protected_frozen_control,0,not_close,reject_if_no_new_evidence,Frozen control or benchmark row is preserved for comparison.,none; compare or observe only,True
current_no_cash_proxy_alpha_AB,sector_momentum_plus_trend_following,ETF,tier4_paper_forward,active_observation,keep_active_observation,protected_active_observation,0,not_close,reject_if_no_new_evidence,Active paper/demo observation is protected from mutation.,scheduled paper/demo checkpoint only,True
SPY_buy_hold,buy_and_hold,ETF,benchmark,benchmark,keep_frozen_control,protected_frozen_control,0,not_close,reject_if_no_new_evidence,Frozen control or benchmark row is preserved for comparison.,none; compare or observe only,True
BIL_cash_proxy,cash_proxy,ETF,benchmark,benchmark,keep_frozen_control,protected_frozen_control,0,not_close,reject_if_no_new_evidence,Frozen control or benchmark row is preserved for comparison.,none; compare or observe only,True
family_broad_etf_spy200d_v1,independent_family_challenge,broad_etf_trend,tier3_candidate_validation,benchmark_candidate,keep_frozen_control,protected_frozen_control,0,not_close,reject_if_no_new_evidence,Frozen control or benchmark row is preserved for comparison.,none; compare or observe only,False
family_broad_etf_spy_buy_hold_v1,independent_family_challenge,broad_etf_buy_hold,benchmark,benchmark_candidate,keep_frozen_control,protected_frozen_control,0,not_close,reject_if_no_new_evidence,Frozen control or benchmark row is preserved for comparison.,none; compare or observe only,False
family_cash_treasury_bil_v1,independent_family_challenge,cash_treasury_proxy,benchmark,benchmark,keep_frozen_control,protected_frozen_control,0,not_close,reject_if_no_new_evidence,Frozen control or benchmark row is preserved for comparison.,none; compare or observe only,False
family_bond_treasury_ief_v1,independent_family_challenge,bond_treasury_etf,benchmark,benchmark,keep_frozen_control,protected_frozen_control,0,not_close,reject_if_no_new_evidence,Frozen control or benchmark row is preserved for comparison.,none; compare or observe only,False
family_gold_gld_v1,independent_family_challenge,gold_commodity_etf,benchmark,benchmark,keep_frozen_control,protected_frozen_control,0,not_close,reject_if_no_new_evidence,Frozen control or benchmark row is preserved for comparison.,none; compare or observe only,False
profit_combo_SPY200d_GLD_50_50_v1,fixed_weight_combination,fixed ETF combination,tier2_credible_prototype,active_paper_demo_observation,keep_active_observation,protected_active_observation,0,not_close,reject_if_no_new_evidence,Active paper/demo observation is protected from mutation.,scheduled paper/demo checkpoint only,True
asset_class_tsmom_top2_v1,asset_class_time_series_momentum,ETF,tier2_credible_prototype,exploratory_only,mark_historical_leader,protected_historical_leader,0,not_close,reject_if_no_new_evidence,Historical leader remains preserved as a comparison row.,preserve and compare in future reviews,False
