item_id,lane,gate_status,first_required_action,implementation_allowed_now,backtest_allowed_now,notes
individual_stock_momentum_gate1b_v1,historical_candidate_family_queue,gate_required,vendor/cost/access/survivorship review,false,false,Research-only review before any implementation
crypto_spot_tsmom_tier2_review_v1,historical_candidate_family_queue,tier2_review_required,Tier 2 data/exchange/fees/spread/24-7 handling review,false,false,Keep separate from ETF paper-forward lane
commodity_basket_etf_momentum_v1,historical_candidate_family_queue,proxy_review_required,proxy/inception/roll-risk review,false,false,Review before any symbol acquisition or coding
treasury_duration_trend_rotation_v1,historical_candidate_family_queue,target_potential_review_required,target-potential review,false,false,Review expected target speed before implementation
managed_futures_proxy_combination_review_v1,historical_candidate_family_queue,combination_review_required,combination-design review only,false,false,No standalone candidate_exhaustive now
low_vol_quality_defensive_rotation_v1,historical_candidate_family_queue,target_potential_review_required,too-slow / target-potential review,false,false,Avoid another one-off ETF variant without strong gate
options_futures_forex_intraday_blocked_reference_v1,historical_candidate_family_queue,blocked,keep blocked until execution/risk/data framework exists,false,false,Reference row only
combo_plus_top2_50_50_review_v1,combination_candidate_queue,combination_implementation_review_required,combination implementation review,false,false,Queue row only; not implemented
combo_plus_managed_futures_80_20_review_v1,combination_candidate_queue,combination_review_with_short_history_warning_required,combination implementation review,false,false,Queue row only; wrapper proxy warning required
top2_plus_managed_futures_80_20_review_v1,combination_candidate_queue,combination_implementation_review_required,combination implementation review,false,false,Queue row only
combo_plus_bil_dynamic_defensive_review_v1,combination_candidate_queue,rule_definition_review_required,combination implementation review,false,false,No dynamic tuning approved
gls_or_multi_asset_equal_risk_review_v1,combination_candidate_queue,concept_review_required,combination implementation review,false,false,Placeholder only
