lane,gap_fit,non_duplicate,drawdown_control,target_potential,data_feasibility,simplicity,policy_compatibility,false_confidence_risk,lane_score,why
volatility_managed_equity_etf,90,75,85,70,90,75,95,35,565,Directly addresses too-risky equity/high-upside rows with ETF/fund data and risk controls.
quality_low_volatility_etf_proxy,78,70,80,55,90,80,95,35,533,"Targets drawdown control and non-duplicate defensive behavior, but may be too slow."
defensive_sector_rotation_etf,80,65,75,65,90,70,95,40,520,May improve sector exposure while staying in ETF/fund policy lanes.
no_new_lane_validate_current_observation,50,40,80,35,100,90,100,20,475,"Useful if research queue is saturated, but it does not find a new candidate."
global_risk_on_risk_off_etf,72,55,70,65,85,70,95,45,452,"Could broaden regimes, but current global/multi-asset rows already showed duplication risk."
carry_yield_etf_proxy,62,70,65,45,80,65,90,45,432,"Possible diversifier, but likely slower than challenge target needs."
managed_futures_etf_wrapper,58,75,70,45,75,60,75,60,398,"Potential diversifier, but current wrapper evidence is too slow/gated and product interpretation is tricky."
commodity_wrapper_reopen,45,45,45,70,85,70,80,65,360,Commodity rows showed target power but failed risk budget or duplicated combo behavior.
crypto_spot_reopen,35,60,25,85,70,55,65,75,320,High upside remains dominated by drawdown and Tier 2 risk.
individual_stock_momentum_provider_resolution,40,85,55,75,20,30,60,80,265,"Potentially valuable, but still blocked by survivorship-aware provider access and terms."
futures_research_memo_only,15,80,35,65,20,20,20,90,145,Direct futures remain gated; memo-only unless a separate futures lane is approved.
options_research_memo_only,15,80,20,70,15,15,20,90,125,Instrument lane is policy-gated; memo-only is appropriate.
forex_research_memo_only,12,75,35,45,20,20,20,85,122,Forex remains instrument-gated and outside current ETF/fund fast lane.
