strategy_id,family,instrument_lane,evidence_tier,current_status,promotion_decision,failure_mode,closest_to_promotion_score,readiness_label,gap_recommended_next_action,failure_mode_reason,exact_evidence_needed_to_change_decision,missing_evidence,evidence_needed
SPY_200d_trend_model,absolute_trend,ETF,tier4_paper_forward,active_observation,keep_frozen_control,protected_frozen_control,0,not_close,reject_if_no_new_evidence,Frozen control or benchmark row is preserved for comparison.,none; compare or observe only,,none; compare or observe only
current_no_cash_proxy_alpha_AB,sector_momentum_plus_trend_following,ETF,tier4_paper_forward,active_observation,keep_active_observation,protected_active_observation,0,not_close,reject_if_no_new_evidence,Active paper/demo observation is protected from mutation.,scheduled paper/demo checkpoint only,,scheduled paper/demo checkpoint only
SPY_buy_hold,buy_and_hold,ETF,benchmark,benchmark,keep_frozen_control,protected_frozen_control,0,not_close,reject_if_no_new_evidence,Frozen control or benchmark row is preserved for comparison.,none; compare or observe only,,none; compare or observe only
BIL_cash_proxy,cash_proxy,ETF,benchmark,benchmark,keep_frozen_control,protected_frozen_control,0,not_close,reject_if_no_new_evidence,Frozen control or benchmark row is preserved for comparison.,none; compare or observe only,,none; compare or observe only
SPY_200d_trend_model_sim_1_25x_v1,trend leverage diagnostic,ETF simulated leverage,tier1_exploratory,too_risky,mark_too_risky,too_risky_drawdown_budget,0,not_close,run_drawdown_overlap_test,Drawdown or risk-budget behavior is too weak for promotion.,risk-control evidence with drawdown inside budget,,risk-control evidence with drawdown inside budget
SPY_200d_trend_model_sim_1_5x_v1,trend leverage diagnostic,ETF simulated leverage,tier1_exploratory,too_risky,mark_too_risky,too_risky_drawdown_budget,0,not_close,run_drawdown_overlap_test,Drawdown or risk-budget behavior is too weak for promotion.,risk-control evidence with drawdown inside budget,,risk-control evidence with drawdown inside budget
SPY_buy_hold_sim_1_25x_v1,buy_hold leverage diagnostic,ETF simulated leverage,tier1_exploratory,too_risky,mark_too_risky,too_risky_drawdown_budget,0,not_close,run_drawdown_overlap_test,Drawdown or risk-budget behavior is too weak for promotion.,risk-control evidence with drawdown inside budget,,risk-control evidence with drawdown inside budget
SPY_buy_hold_sim_1_5x_v1,buy_hold leverage diagnostic,ETF simulated leverage,tier1_exploratory,too_risky,mark_too_risky,too_risky_drawdown_budget,0,not_close,run_drawdown_overlap_test,Drawdown or risk-budget behavior is too weak for promotion.,risk-control evidence with drawdown inside budget,,risk-control evidence with drawdown inside budget
SPY_200d_exposure_frontier_1_05x_v1,SPY_200d exposure frontier diagnostic,ETF simulated exposure,tier1_exploratory,too_risky,mark_too_risky,too_risky_drawdown_budget,0,not_close,run_drawdown_overlap_test,Drawdown or risk-budget behavior is too weak for promotion.,risk-control evidence with drawdown inside budget,,risk-control evidence with drawdown inside budget
SPY_200d_exposure_frontier_1_10x_v1,SPY_200d exposure frontier diagnostic,ETF simulated exposure,tier1_exploratory,too_risky,mark_too_risky,too_risky_drawdown_budget,0,not_close,run_drawdown_overlap_test,Drawdown or risk-budget behavior is too weak for promotion.,risk-control evidence with drawdown inside budget,,risk-control evidence with drawdown inside budget
SPY_200d_exposure_frontier_1_15x_v1,SPY_200d exposure frontier diagnostic,ETF simulated exposure,tier1_exploratory,too_risky,mark_too_risky,too_risky_drawdown_budget,0,not_close,run_drawdown_overlap_test,Drawdown or risk-budget behavior is too weak for promotion.,risk-control evidence with drawdown inside budget,,risk-control evidence with drawdown inside budget
SPY_200d_exposure_frontier_1_20x_v1,SPY_200d exposure frontier diagnostic,ETF simulated exposure,tier1_exploratory,too_risky,mark_too_risky,too_risky_drawdown_budget,0,not_close,run_drawdown_overlap_test,Drawdown or risk-budget behavior is too weak for promotion.,risk-control evidence with drawdown inside budget,,risk-control evidence with drawdown inside budget
