strategy_id,family,instrument_lane,evidence_tier,current_status,promotion_decision,failure_mode,closest_to_promotion_score,readiness_label,gap_recommended_next_action,failure_mode_reason,exact_evidence_needed_to_change_decision,blocked_reason
family_individual_stock_momentum_v1,independent_family_blocked,individual_stock_momentum,blocked,blocked,blocked,blocked_survivorship_or_point_in_time_data,0,not_close,blocked_until_data_gate_resolved,"Serious evidence is blocked by survivorship, delisting, or point-in-time data requirements.",resolve blocker before any candidate_exhaustive queue decision,blocked_by_gate;survivorship_free_data_unverified;delisting_treatment_unverified
family_options_directional_v1,independent_family_blocked,options_directional,blocked,blocked,blocked,blocked_survivorship_or_point_in_time_data,0,not_close,blocked_until_data_gate_resolved,"Serious evidence is blocked by survivorship, delisting, or point-in-time data requirements.",resolve blocker before any candidate_exhaustive queue decision,blocked_by_gate;options_data_and_execution_model_missing
family_options_premium_v1,independent_family_blocked,options_premium,blocked,blocked,blocked,blocked_survivorship_or_point_in_time_data,0,not_close,blocked_until_data_gate_resolved,"Serious evidence is blocked by survivorship, delisting, or point-in-time data requirements.",resolve blocker before any candidate_exhaustive queue decision,blocked_by_gate;options_tail_risk_model_missing
family_futures_trend_following_v1,independent_family_blocked,futures_trend_following,blocked,blocked,blocked,blocked_survivorship_or_point_in_time_data,0,not_close,blocked_until_data_gate_resolved,"Serious evidence is blocked by survivorship, delisting, or point-in-time data requirements.",resolve blocker before any candidate_exhaustive queue decision,blocked_by_gate;futures_roll_margin_gap_model_missing
family_forex_momentum_carry_v1,independent_family_blocked,forex_momentum_carry,blocked,blocked,blocked,blocked_survivorship_or_point_in_time_data,0,not_close,blocked_until_data_gate_resolved,"Serious evidence is blocked by survivorship, delisting, or point-in-time data requirements.",resolve blocker before any candidate_exhaustive queue decision,blocked_by_gate;forex_execution_financing_model_missing
family_intraday_orb_v1,independent_family_blocked,intraday_opening_range_breakout,blocked,blocked,blocked,blocked_survivorship_or_point_in_time_data,0,not_close,blocked_until_data_gate_resolved,"Serious evidence is blocked by survivorship, delisting, or point-in-time data requirements.",resolve blocker before any candidate_exhaustive queue decision,blocked_by_gate;intraday_data_and_fill_model_missing
family_volatility_products_v1,independent_family_blocked,volatility_products,blocked,blocked,blocked,blocked_survivorship_or_point_in_time_data,0,not_close,blocked_until_data_gate_resolved,"Serious evidence is blocked by survivorship, delisting, or point-in-time data requirements.",resolve blocker before any candidate_exhaustive queue decision,blocked_by_gate;volatility_product_mechanics_missing
family_event_news_momentum_v1,independent_family_blocked,event_news_momentum,blocked,blocked,blocked,blocked_survivorship_or_point_in_time_data,0,not_close,blocked_until_data_gate_resolved,"Serious evidence is blocked by survivorship, delisting, or point-in-time data requirements.",resolve blocker before any candidate_exhaustive queue decision,blocked_by_gate;point_in_time_event_data_missing
individual_stock_momentum_gate1a,individual_stock_momentum,equities,blocked,deferred,blocked,blocked_survivorship_or_point_in_time_data,0,not_close,blocked_until_data_gate_resolved,"Serious evidence is blocked by survivorship, delisting, or point-in-time data requirements.",resolve blocker before any candidate_exhaustive queue decision,deferred
options_directional_gate0_needed,directional_options,options,tier0_research_map,memo_only,blocked,blocked_survivorship_or_point_in_time_data,0,not_close,blocked_until_data_gate_resolved,"Serious evidence is blocked by survivorship, delisting, or point-in-time data requirements.",resolve blocker before any candidate_exhaustive queue decision,memo_only
futures_trend_following_gate0_needed,trend_following,futures,tier0_research_map,memo_only,blocked,blocked_survivorship_or_point_in_time_data,0,not_close,blocked_until_data_gate_resolved,"Serious evidence is blocked by survivorship, delisting, or point-in-time data requirements.",resolve blocker before any candidate_exhaustive queue decision,memo_only
forex_momentum_carry_gate0_needed,momentum_carry,forex,tier0_research_map,memo_only,blocked,blocked_survivorship_or_point_in_time_data,0,not_close,blocked_until_data_gate_resolved,"Serious evidence is blocked by survivorship, delisting, or point-in-time data requirements.",resolve blocker before any candidate_exhaustive queue decision,memo_only
intraday_orb_gate0_needed,opening_range_breakout,intraday,tier0_research_map,memo_only,blocked,blocked_survivorship_or_point_in_time_data,0,not_close,blocked_until_data_gate_resolved,"Serious evidence is blocked by survivorship, delisting, or point-in-time data requirements.",resolve blocker before any candidate_exhaustive queue decision,memo_only
volatility_products_gate0_needed,volatility,volatility_products,tier0_research_map,memo_only,blocked,blocked_survivorship_or_point_in_time_data,0,not_close,blocked_until_data_gate_resolved,"Serious evidence is blocked by survivorship, delisting, or point-in-time data requirements.",resolve blocker before any candidate_exhaustive queue decision,memo_only
managed_futures_proxy_etf_trend_v1,managed_futures_style_trend,ETF_or_fund_proxy,tier2_credible_prototype,too_slow,blocked,blocked_survivorship_or_point_in_time_data,0,not_close,blocked_until_data_gate_resolved,"Serious evidence is blocked by survivorship, delisting, or point-in-time data requirements.",resolve blocker before any candidate_exhaustive queue decision,research_sample_only;short_history;fund_wrapper_proxy_only;too_slow;not_candidate_exhaustive;not_paper_forward_allowed
combo_plus_managed_futures_80_20_v1,fixed_strategy_combination,fixed ETF/fund-wrapper combination,tier2_credible_prototype,short_history_watchlist,blocked,blocked_survivorship_or_point_in_time_data,0,not_close,blocked_until_data_gate_resolved,"Serious evidence is blocked by survivorship, delisting, or point-in-time data requirements.",resolve blocker before any candidate_exhaustive queue decision,research_sample_only;short_horizon_too_slow;short_history;fund_wrapper_proxy_only;target_window_co_movement_available_no_incremental_hits;not_candidate_exhaustive;not_paper_forward_allowed
top2_plus_managed_futures_80_20_v1,fixed_strategy_combination,fixed ETF/fund-wrapper combination,tier2_credible_prototype,short_history_watchlist,blocked,blocked_survivorship_or_point_in_time_data,0,not_close,blocked_until_data_gate_resolved,"Serious evidence is blocked by survivorship, delisting, or point-in-time data requirements.",resolve blocker before any candidate_exhaustive queue decision,research_sample_only;short_horizon_too_slow;short_history;fund_wrapper_proxy_only;target_window_co_movement_available_no_incremental_hits;not_candidate_exhaustive;not_paper_forward_allowed
crypto_spot_tsmom_tier2_review_v1,crypto_spot_trend,crypto_spot,tier1_research_queue,data_gated,blocked,blocked_survivorship_or_point_in_time_data,0,not_close,blocked_until_data_gate_resolved,"Serious evidence is blocked by survivorship, delisting, or point-in-time data requirements.",resolve blocker before any candidate_exhaustive queue decision,queue_only;crypto_tier2_required;execution_model_missing;not_implemented
individual_stock_momentum_gate1b_v1,individual_stock_momentum,individual_stocks,tier1_research_queue,conditional_pending_package_and_terms_selection,blocked,blocked_survivorship_or_point_in_time_data,0,not_close,blocked_until_data_gate_resolved,"Serious evidence is blocked by survivorship, delisting, or point-in-time data requirements.",resolve blocker before any candidate_exhaustive queue decision,sharadar_package_not_selected;terms_acceptance_not_confirmed;cache_rights_unclear;delisting_treatment_unknown;point_in_time_universe_unclear;not_implemented
