strategy_id,family,instrument_lane,registry_lane,evidence_tier,current_status,implementation_status,paper_forward_active,real_money_recommendation,candidate_exhaustive_run,candidate_exhaustive_recommended,promotion_review_required,promotion_decision,promotion_reason,primary_failure_mode,duplication_risk,risk_budget_status,latest_evidence_path,metrics_source,target_300_evidence,target_400_evidence,drawdown_evidence,stop_hit_evidence,stress_evidence,missing_evidence,evidence_needed,blocked_reason,duplicate_of,recommended_next_action,candidate_exhaustive_allowed,paper_forward_allowed,allowed_next_actions,forbidden_next_actions
SPY_200d_trend_model,absolute_trend,ETF,paper_forward,tier4_paper_forward,active_observation,implemented,True,False,False,False,False,keep_frozen_control,Frozen control or benchmark/control row must remain preserved for comparison; no rule mutation is allowed.,none,not_flagged,control_or_benchmark,evidence/paper_forward_runs/latest/,/Users/jcruzlopez/trading/trading_tournament/evidence/profit_exploration/latest/profit_rankings.csv,0.2307692307692307,0.1025641025641025,-354.0695895855383,,55.77808893374731,,none; compare or observe only,,nan,compare_only,False,False,observe_only,change_rules;tune_parameters;promote_to_real_money;add_broker_integration;place_orders
current_no_cash_proxy_alpha_AB,sector_momentum_plus_trend_following,ETF,paper_forward,tier4_paper_forward,active_observation,implemented,True,False,False,False,False,keep_active_observation,Active paper/demo observation row is protected; review can record status but must not mutate rules or activate anything new.,none,not_flagged,observe_only,evidence/paper_forward_runs/latest/,,,,,,,,scheduled paper/demo checkpoint only,,,observe_only,False,False,observe_only,change_rules;tune_parameters;promote_to_real_money;add_broker_integration;place_orders
SPY_buy_hold,buy_and_hold,ETF,paper_forward,benchmark,benchmark,benchmark_only,True,False,False,False,False,keep_frozen_control,Frozen control or benchmark/control row must remain preserved for comparison; no rule mutation is allowed.,none,not_flagged,control_or_benchmark,evidence/paper_forward_runs/latest/,candidate_status_matrix.csv,,,,,,,none; compare or observe only,,,compare_only,False,False,compare_only,change_rules;tune_parameters;promote_to_real_money;add_broker_integration;place_orders
BIL_cash_proxy,cash_proxy,ETF,paper_forward,benchmark,benchmark,benchmark_only,True,False,False,False,False,keep_frozen_control,Frozen control or benchmark/control row must remain preserved for comparison; no rule mutation is allowed.,none,not_flagged,control_or_benchmark,evidence/paper_forward_runs/latest/,/Users/jcruzlopez/trading/trading_tournament/evidence/profit_exploration/latest/profit_rankings.csv,,,-19.7228771754053,,1.936399041138884,,none; compare or observe only,,nan,compare_only,False,False,compare_only,change_rules;tune_parameters;promote_to_real_money;add_broker_integration;place_orders
SPY_200d_trend_model_sim_1_25x_v1,trend leverage diagnostic,ETF simulated leverage,compact_challenge,tier1_exploratory,too_risky,implemented_exploratory,False,False,False,False,False,mark_too_risky,"Risk budget, stop rate, leverage/mechanics, or high-upside/high-risk status prevents promotion.",risk_budget_or_policy_breach,not_flagged,breached_or_high_risk,evidence/challenge_runs/latest/,,,,,,,,risk-control evidence with drawdown inside budget,,,research_sample_review,False,False,audit_harden,observe_as_paper_forward;promote_to_real_money;add_broker_integration;treat_as_validated;tune_leverage_multiplier
SPY_200d_trend_model_sim_1_5x_v1,trend leverage diagnostic,ETF simulated leverage,compact_challenge,tier1_exploratory,too_risky,implemented_exploratory,False,False,False,False,False,mark_too_risky,"Risk budget, stop rate, leverage/mechanics, or high-upside/high-risk status prevents promotion.",risk_budget_or_policy_breach,not_flagged,breached_or_high_risk,evidence/challenge_runs/latest/,,,,,,,,risk-control evidence with drawdown inside budget,,,research_sample_review,False,False,audit_harden,observe_as_paper_forward;promote_to_real_money;add_broker_integration;treat_as_validated;tune_leverage_multiplier
SPY_buy_hold_sim_1_25x_v1,buy_hold leverage diagnostic,ETF simulated leverage,compact_challenge,tier1_exploratory,too_risky,implemented_exploratory,False,False,False,False,False,mark_too_risky,"Risk budget, stop rate, leverage/mechanics, or high-upside/high-risk status prevents promotion.",risk_budget_or_policy_breach,not_flagged,breached_or_high_risk,evidence/challenge_runs/latest/,,,,,,,,risk-control evidence with drawdown inside budget,,,research_sample_review,False,False,audit_harden,observe_as_paper_forward;promote_to_real_money;add_broker_integration;treat_as_validated;tune_leverage_multiplier
SPY_buy_hold_sim_1_5x_v1,buy_hold leverage diagnostic,ETF simulated leverage,compact_challenge,tier1_exploratory,too_risky,implemented_exploratory,False,False,False,False,False,mark_too_risky,"Risk budget, stop rate, leverage/mechanics, or high-upside/high-risk status prevents promotion.",risk_budget_or_policy_breach,not_flagged,breached_or_high_risk,evidence/challenge_runs/latest/,,,,,,,,risk-control evidence with drawdown inside budget,,,research_sample_review,False,False,audit_harden,observe_as_paper_forward;promote_to_real_money;add_broker_integration;treat_as_validated;tune_leverage_multiplier
SPY_200d_exposure_frontier_1_05x_v1,SPY_200d exposure frontier diagnostic,ETF simulated exposure,compact_challenge,tier1_exploratory,too_risky,implemented_exploratory,False,False,False,False,False,mark_too_risky,"Risk budget, stop rate, leverage/mechanics, or high-upside/high-risk status prevents promotion.",risk_budget_or_policy_breach,not_flagged,breached_or_high_risk,evidence/challenge_runs/latest/,,,,,,,,risk-control evidence with drawdown inside budget,,,research_sample_review,False,False,audit_harden,observe_as_paper_forward;promote_to_real_money;add_broker_integration;treat_as_validated;tune_exposure_multiplier
SPY_200d_exposure_frontier_1_10x_v1,SPY_200d exposure frontier diagnostic,ETF simulated exposure,compact_challenge,tier1_exploratory,too_risky,implemented_exploratory,False,False,False,False,False,mark_too_risky,"Risk budget, stop rate, leverage/mechanics, or high-upside/high-risk status prevents promotion.",risk_budget_or_policy_breach,not_flagged,breached_or_high_risk,evidence/challenge_runs/latest/,,,,,,,,risk-control evidence with drawdown inside budget,,,research_sample_review,False,False,audit_harden,observe_as_paper_forward;promote_to_real_money;add_broker_integration;treat_as_validated;tune_exposure_multiplier
