lane,lane_score,why
volatility_managed_equity_etf,565,Directly addresses too-risky equity/high-upside rows with ETF/fund data and risk controls.
quality_low_volatility_etf_proxy,533,"Targets drawdown control and non-duplicate defensive behavior, but may be too slow."
defensive_sector_rotation_etf,520,May improve sector exposure while staying in ETF/fund policy lanes.
no_new_lane_validate_current_observation,475,"Useful if research queue is saturated, but it does not find a new candidate."
global_risk_on_risk_off_etf,452,"Could broaden regimes, but current global/multi-asset rows already showed duplication risk."
carry_yield_etf_proxy,432,"Possible diversifier, but likely slower than challenge target needs."
managed_futures_etf_wrapper,398,"Potential diversifier, but current wrapper evidence is too slow/gated and product interpretation is tricky."
commodity_wrapper_reopen,360,Commodity rows showed target power but failed risk budget or duplicated combo behavior.
crypto_spot_reopen,320,High upside remains dominated by drawdown and Tier 2 risk.
individual_stock_momentum_provider_resolution,265,"Potentially valuable, but still blocked by survivorship-aware provider access and terms."
futures_research_memo_only,145,Direct futures remain gated; memo-only unless a separate futures lane is approved.
options_research_memo_only,125,Instrument lane is policy-gated; memo-only is appropriate.
forex_research_memo_only,122,Forex remains instrument-gated and outside current ETF/fund fast lane.
